SampleID,true_add,predicted_add
25779_S2096_L003,79.72222223,57.93677222460008
25797_S2119_L003,69.44444445,83.84456666981013

64550_S1620_L003,0.0,55.23866111248
64568_S1611_L003,0.0,55.45941666781001
64584_S2010_L003,3.9,59.58837222382002
64586_S1616_L003,32.8,71.55216666841999
64604_S1610_L003,15.8,62.51210000143
64623_S2021_L003,94.1,58.48178333495004
64640_S1992_L003,80.4,69.80900000051001
64642_S1987_L003,109.7,78.58483333383997
64656_S1619_L003,124.1,65.67392777922004
64658_S1613_L003,148.3,111.68885555825
64676_S1941_L003,133.9,108.11848888997996
64692_S1617_L003,174.6,125.77437222443005
64694_S1984_L003,194.1,71.37817222267998
64713_S2247_L003,186.2,51.26374444573999
64714_S1985_L003,202.2,124.0411055580299
64728_S1976_L003,212.9,65.38668889022003

64368_S1979_L003,0.0,78.43666666649996
64370_S2000_L003,0.0,81.07970000002994
64388_S1607_L003,0.0,55.55885555724007
64390_S1981_L003,3.9,55.700372223990094
64404_S1980_L003,15.8,70.93393333295995
64406_S2004_L003,49.3,60.87001111261006
64426_S1988_L003,64.5,67.06670000162009
64441_S2098_L003,80.4,67.61375000143006
64442_S1983_L003,109.7,86.09616111113995
64461_S2134_L003,94.1,52.06893889007005
64476_S1932_L003,133.9,53.99820000113004
64479_S2030_L003,161.0,63.335561112750064
64496_S1946_L003,148.3,76.05342778028003
64498_S1934_L003,174.6,44.73984444570003
64512_S1882_L003,186.2,54.306050001150034
64532_S1880_L003,194.1,77.99865555559994
64534_S1994_L003,212.9,80.02597777942
64548_S1996_L003,215.9,131.78910555943025

64750_S1991_L003,0.0,62.36696666760011
64764_S1989_L003,0.0,57.195533334830074
64766_S2007_L003,15.8,60.78093888967004
64784_S2008_L003,3.9,59.550227778840046
64786_S1982_L003,32.8,57.09909444582009
64800_S1993_L003,49.3,65.8977444456601
64802_S1978_L003,80.4,62.24603333438011
64820_S1621_L003,64.5,58.50415000118006
64822_S2009_L003,94.1,60.33194444558007
