SampleID	Oblitimonas_alkaliphila
soil.hip.SHSU.2016.067.2016.10.02.day17	0.1556
soil.hip.SHSU.2016.065.2016.09.07.day14	0.003
soil.hip.SHSU.2016.065.2016.08.31.day7	0.008
soil.hip.SHSU.2016.067.2016.09.16.day1	0.0058
soil.hip.SHSU.2016.064.2016.09.10.day17	0
soil.hip.CMU.16.10.2016.08.25.day20	0.0036
soil.hip.UTK.K016.06.2016.10.06.day2	0.0008
soil.hip.UTK.K016.04.2016.10.07.day12	0.0312
soil.hip.CMU.16.09.2016.08.09.day15	0.001
soil.hip.CMU.16.09.2016.08.11.day17	0
soil.hip.UTK.K016.06.2016.10.09.day5	0
soil.hip.CMU.16.10.2016.08.06.day1	0.0004
soil.hip.SHSU.2016.065.2016.09.01.day8	0.0566
soil.hip.UTK.K016.04.2016.09.27.day2	0.0014
soil.hip.SHSU.2016.064.2016.09.07.day14	0.0004
soil.hip.SHSU.2016.065.2016.08.28.day4	0.0074
soil.hip.SHSU.2016.064.2016.09.01.day8	0.0124
soil.hip.UTK.K016.06.2016.10.25.day21	0.1378
soil.hip.UTK.K016.04.2016.10.03.day8	0.1286
soil.hip.UTK.K016.05.2016.10.06.day11	0.0386
soil.hip.UTK.K016.05.2016.09.26.day1	0.0006
soil.hip.UTK.K016.06.2016.10.15.day11	0.1394
soil.hip.UTK.K016.06.2016.10.12.day8	0.1346
soil.hip.UTK.K016.05.2016.10.09.day14	0.0256
soil.hip.UTK.K016.05.2016.10.02.day7	0.0008
soil.hip.UTK.K016.06.2016.10.19.day15	0.1006
soil.hip.UTK.K016.05.2016.09.28.day3	0.0006
soil.hip.UTK.K016.06.2016.10.18.day14	0.0828
soil.hip.UTK.K016.04.2016.10.06.day11	0.0664
soil.hip.UTK.K016.04.2016.10.04.day9	0.105
soil.hip.UTK.K016.04.2016.10.05.day10	0.0812
soil.hip.UTK.K016.05.2016.10.05.day10	0.032
soil.hip.UTK.K016.05.2016.10.10.day15	0.0272
soil.hip.UTK.K016.06.2016.10.20.day16	0.1066
soil.hip.UTK.K016.05.2016.10.07.day12	0.034
soil.hip.UTK.K016.05.2016.10.11.day16	0.0254
soil.hip.UTK.K016.06.2016.10.14.day10	0.1276
soil.hip.UTK.K016.05.2016.10.08.day13	0.0202
soil.hip.UTK.K016.09.2017.Jan.12.day6	0
soil.hip.UTK.K016.08.2017.Jan.20.day14	0
soil.hip.UTK.K016.07.2017.Jan.06.day1	0
soil.hip.CMU.17.01.2017.01.day8	0
soil.hip.UTK.K016.07.2017.Jan.25.day19	0
soil.hip.UTK.K016.09.2017.Jan.13.day7	0
soil.hip.CMU.17.01.2017.01.day5	0
soil.hip.CMU.17.01.2017.01.day20	0
soil.hip.UTK.K016.08.2017.Jan.11.day5	0
soil.hip.CMU.16.14.2016.12.day.day6	0
soil.hip.UTK.K016.09.2017.Jan.09.day3	0
soil.hip.UTK.K016.07.2017.Jan.14.day8	0
soil.hip.CMU.16.15.2016.12.day13	0
soil.hip.UTK.K016.07.2017.Jan.09.day3	0
soil.hip.CMU.16.14.2016.12.day.day18	0
soil.hip.CMU.16.12.2016.10.day.day3	0
soil.hip.CMU.16.15.2016.12.day16	0
soil.hip.UTK.K016.09.2017.Jan.24.day18	0
soil.hip.CMU.16.14.2016.12.day.day16	0
soil.hip.UTK.K016.08.2017.Jan.21.day15	0
soil.hip.CMU.16.12.2016.11.day.day21	0
soil.hip.UTK.K016.07.2017.Jan.22.day16	0
soil.hip.CMU.16.14.2016.12.day.day21	0
soil.hip.UTK.K016.09.2017.Jan.08.day2	0
soil.hip.UTK.K016.09.2017.Jan.20.day14	0
soil.hip.UTK.K016.08.2017.Jan.17.day11	0
soil.hip.CMU.16.15.2016.12.day3	0
soil.hip.CMU.16.14.2016.12.day.day15	0
soil.hip.UTK.K016.08.2017.Jan.13.day7	0
soil.hip.CMU.17.01.2017.01.day22	0
soil.hip.CMU.17.01.2017.01.day4	0
soil.hip.CMU.16.14.2016.12.day.day17	0
soil.hip.UTK.K016.09.2017.Jan.17.day11	0
soil.hip.UTK.K016.07.2017.Jan.18.day12	0
soil.hip.UTK.K016.07.2017.Jan.21.day15	0
soil.hip.UTK.K016.08.2017.Jan.15.day9	0
soil.hip.UTK.K016.08.2017.Jan.19.day13	0
soil.hip.UTK.K016.07.2017.Jan.26.day20	0
soil.hip.CMU.17.01.2017.01.day9	0
soil.hip.CMU.16.15.2016.12.day2	0
soil.hip.UTK.K016.07.2017.Jan.23.day17	0
soil.hip.UTK.K016.07.2017.Jan.17.day11	0
soil.hip.CMU.16.14.2016.11.day.day1	0
soil.hip.CMU.17.01.2017.01.day2	0
soil.hip.UTK.K016.09.2017.Jan.25.day19	0
soil.hip.CMU.17.01.2017.01.day18	0
soil.hip.UTK.K016.08.2017.Jan.10.day4	0
soil.hip.UTK.K016.07.2017.Jan.08.day2	0
soil.hip.CMU.16.12.2016.11.day.day17	0
soil.hip.UTK.K016.08.2017.Jan.14.day8	0
soil.hip.CMU.16.15.2016.12.day1	0
soil.hip.UTK.K016.07.2017.Jan.24.day18	0
soil.hip.CMU.16.12.2016.11.day.day19	0
soil.hip.UTK.K016.09.2017.Jan.14.day8	0
soil.hip.CMU.16.14.2016.12.day.day19	0
soil.hip.UTK.K016.08.2017.Jan.12.day6	0
soil.hip.UTK.K016.09.2017.Jan.06.day1	0
soil.hip.UTK.K016.09.2017.Jan.18.day12	0
soil.hip.CMU.16.15.2016.12.day10	0
soil.hip.CMU.16.15.2016.12.day14	0
soil.hip.CMU.17.01.2017.01.day17	0
soil.hip.UTK.K016.09.2017.Jan.11.day5	0
soil.hip.UTK.K016.08.2017.Jan.26.day20	0
soil.hip.UTK.K016.07.2017.Jan.19.day13	0
soil.hip.CMU.17.01.2017.01.day1	0
soil.hip.UTK.K016.08.2017.Jan.16.day10	0
soil.hip.UTK.K016.08.2017.Jan.08.day2	0
soil.hip.UTK.K016.07.2017.Jan.10.day4	0
soil.hip.UTK.K016.07.2017.Jan.13.day7	0
soil.hip.UTK.K016.08.2017.Jan.25.day19	0
soil.hip.CMU.16.15.2016.12.day20	0
soil.hip.CMU.16.14.2016.12.day.day7	0
soil.hip.CMU.16.15.2016.12.day8	0
soil.hip.UTK.K016.08.2017.Jan.18.day12	0
soil.hip.CMU.16.14.2016.12.day.day14	0
soil.hip.CMU.17.01.2017.01.day21	0
soil.hip.CMU.16.15.2016.12.day11	0
soil.hip.UTK.K016.09.2017.Jan.27.day21	0
soil.hip.UTK.K016.07.2017.Jan.16.day10	0
soil.hip.UTK.K016.08.2017.Jan.27.day21	0
soil.hip.UTK.K016.09.2017.Jan.26.day20	0
soil.hip.UTK.K016.08.2017.Jan.09.day3	0
soil.hip.UTK.K016.08.2017.Jan.22.day16	0
soil.hip.UTK.K016.07.2017.Jan.20.day14	0
soil.hip.UTK.K016.07.2017.Jan.15.day9	0
soil.hip.CMU.16.15.2016.12.day9	0
soil.hip.CMU.16.14.2016.12.day.day3	0
soil.hip.CMU.17.01.2017.01.day15	0
soil.hip.CMU.16.14.2016.11.day.day2	0
soil.hip.CMU.16.14.2016.12.day.day10	0
soil.hip.CMU.16.14.2016.12.day.day5	0
soil.hip.UTK.K016.09.2017.Jan.15.day9	0
soil.hip.CMU.16.15.2016.12.day18	0
soil.hip.CMU.17.01.2017.01.day19	0
soil.hip.UTK.K016.09.2017.Jan.21.day15	0
soil.hip.UTK.K016.08.2017.Jan.06.day1	0
soil.hip.UTK.K016.07.2017.Jan.12.day6	0
soil.hip.UTK.K016.09.2017.Jan.16.day10	0
soil.hip.UTK.K016.07.2017.Jan.11.day5	0
soil.hip.CMU.16.15.2016.12.day4	0
soil.hip.UTK.K016.09.2017.Jan.22.day16	0
soil.hip.UTK.K016.07.2017.Jan.27.day21	0
soil.hip.UTK.K016.09.2017.Jan.10.day4	0
soil.hip.CMU.16.15.2016.12.day5	0
soil.hip.CMU.16.12.2016.10.day.day1	0
soil.hip.CMU.16.12.2016.10.day.day2	0
soil.hip.UTK.K016.08.2017.Jan.23.day17	0
soil.hip.CMU.16.12.2016.11.day.day14	0
soil.hip.UTK.K016.08.2017.Jan.24.day18	0
soil.hip.CMU.16.12.2016.10.day.day5	0
soil.hip.CMU.16.14.2016.12.day.day13	0
soil.hip.CMU.16.15.2016.12.day15	0
soil.hip.CMU.17.01.2017.01.day11	0
soil.hip.CMU.16.12.2016.11.day.day15	0
soil.hip.CMU.16.12.2016.11.day.day13	0
soil.hip.CMU.16.12.2016.11.day.day11	0
soil.hip.CMU.16.15.2016.12.day6	0
soil.hip.CMU.16.12.2016.11.day.day12	0
soil.hip.CMU.17.01.2017.01.day10	0
soil.hip.UTK.K016.09.2017.Jan.23.day17	0
soil.hip.CMU.17.01.2017.01.day3	0
soil.hip.CMU.16.12.2016.10.day.day8	0
soil.hip.CMU.16.12.2016.10.day.day4	0
soil.hip.CMU.16.14.2016.12.day.day11	0
soil.hip.CMU.16.12.2016.11.day.day16	0
soil.hip.CMU.16.14.2016.12.day.day9	0
soil.hip.CMU.16.15.2016.12.day12	0
soil.hip.CMU.17.01.2017.01.day12	0
soil.hip.CMU.16.14.2016.12.day.day8	0
soil.hip.SHSU.2016.076.2016.12.11.day20	0
soil.hip.CMU.17.04.2017.03.day5	0
soil.hip.SHSU.2016.076.2016.11.25.day4	0.0022
soil.hip.SHSU.2016.073.2016.11.07.day4	0.0002
soil.hip.SHSU.2016.072.2016.11.21.day18	0.009
soil.hip.SHSU.2016.076.2016.12.01.day10	0.0008
soil.hip.SHSU.2016.076.2016.11.23.day2	0.0204
soil.hip.SHSU.2016.072.2016.11.06.day3	0
soil.hip.CMU.17.04.2017.03.day16	0
soil.hip.SHSU.2016.076.2016.11.30.day9	0.0012
soil.hip.SHSU.2016.072.2016.11.15.day12	0.0118
soil.hip.SHSU.2016.073.2016.11.19.day16	0.0744
soil.hip.SHSU.206.072.2016.11.16.day13	0.0096
soil.hip.CMU.17.04.2017.03.day20	0.0002
soil.hip.SHSU.2016.072.2016.11.05.day2	0
soil.hip.CMU.17.04.2017.03.day14	0
soil.hip.SHSU.2016.072.2016.11.11.day8	0.002
soil.hip.SHSU.2016.076.2016.11.24.day3	0.0126
soil.hip.CMU.17.04.2017.03.day18	0
soil.hip.SHSU.2016.072.2016.11.19.day16	0.689
soil.hip.SHSU.2016.072.2016.11.08.day5	0.002
soil.hip.SHSU.2016.072.2016.11.07.day4	0.0014
soil.hip.CMU.17.04.2017.03.day9	0
soil.hip.SHSU.2016.072.2016.11.14.day11	0
soil.hip.SHSU.2016.072.2016.11.24.day21	0.0008
soil.hip.SHSU.2016.073.2016.11.23.day20	0.0258
soil.hip.SHSU.2016.072.2016.11.09.day6	0
soil.hip.SHSU.2016.076.2016.12.05.day14	0.0036
soil.hip.CMU.17.04.2017.03.day2	0
soil.hip.SHSU.2016.073.2016.11.21.day18	0.0372
soil.hip.CMU.17.04.2017.03.day15	0.0004
soil.hip.CMU.17.04.2017.03.day6	0.0002
soil.hip.SHSU.2016.072.2016.11.10.day7	0.0004
soil.hip.CMU.17.04.2017.03.day10	0
soil.hip.SHSU.2016.073.2016.11.24.day21	0.0282
soil.hip.SHSU.2016.076.2016.12.03.day12	0.0042
soil.hip.CMU.17.04.2017.03.day13	0
soil.hip.SHSU.2016.076.2016.11.28.day7	0.0044
soil.hip.SHSU.2016.076.2016.12.02.day11	0.0004
soil.hip.SHSU.2016.073.2016.11.08.day5	0
soil.hip.CMU.17.04.2017.03.day11	0
soil.hip.CMU.17.04.2017.03.day19	0.0002
soil.hip.SHSU.2016.072.2016.11.17.day14	0.3056
soil.hip.SHSU.2016.076.2016.12.06.day15	0.0012
soil.hip.CMU.17.04.2017.03.day4	0
soil.hip.SHSU.2016.076.2016.12.08.day17	0.0002
soil.hip.SHSU.2016.072.2016.11.18.day15	0.015
