SampleID,Helcococcus_seattlensis,sample_site,add_0c,facility,decomp_stage,host_subject_id
soil.face.CMU.16.12.2016.10.day.day8,0,soil.face,26.1,CMU,early,16-12
soil.hip.CMU.16.12.2016.11.day.day15,0,soil.hip,27.5,CMU,early,16-12
soil.hip.CMU.16.12.2016.11.day.day13,0,soil.hip,26.1,CMU,early,16-12
soil.hip.CMU.16.12.2016.11.day.day11,0,soil.hip,26.1,CMU,early,16-12
soil.hip.CMU.16.15.2016.12.day6,0,soil.hip,12.45,CMU,early,Mr. 16-15
soil.face.CMU.16.12.2016.11.day.day20,0,soil.face,27.5,CMU,early,16-12
soil.hip.CMU.16.12.2016.10.day.day10,0,soil.hip,26.1,CMU,early,16-12
soil.face.CMU.17.01.2017.01.day11,0,soil.face,16.4,CMU,early,Mrs. 17-01
soil.face.CMU.16.12.2016.11.day.day11,0,soil.face,26.1,CMU,early,16-12
soil.face.CMU.16.14.2016.12.day.day9,0,soil.face,1.4,CMU,early,16-14
soil.face.CMU.16.12.2016.10.day.day7,0,soil.face,25.8,CMU,early,16-12
soil.face.CMU.16.12.2016.10.day.day10,0,soil.face,26.1,CMU,early,16-12
soil.hip.CMU.16.12.2016.11.day.day12,0,soil.hip,26.1,CMU,early,16-12
soil.hip.CMU.17.01.2017.01.day10,0,soil.hip,12.25,CMU,early,Mrs. 17-01
soil.hip.UTK.K016.09.2017.Jan.23.day17,0,soil.hip,186.2,UTK,active,K016.09
soil.hip.CMU.16.12.2016.10.day.day7,0,soil.hip,25.8,CMU,early,16-12
soil.face.CMU.16.12.2016.10.day.day2,0,soil.face,5.55,CMU,early,16-12
soil.hip.CMU.17.01.2017.01.day3,0,soil.hip,0,CMU,early,Mrs. 17-01
soil.hip.CMU.16.12.2016.10.day.day8,0,soil.hip,26.1,CMU,early,16-12
soil.face.UTK.K016.09.2017.Jan.19.day13,0,soil.face,133.9,UTK,active,K016.09
soil.face.CMU.16.14.2016.12.day.day13,0,soil.face,5,CMU,early,16-14
soil.face.CMU.17.01.2017.01.day14,0,soil.face,24.75,CMU,early,Mrs. 17-01
soil.hip.CMU.16.12.2016.10.day.day4,0,soil.hip,14.4,CMU,early,16-12
soil.hip.CMU.16.14.2016.12.day.day11,0,soil.hip,1.4,CMU,early,16-14
soil.face.CMU.16.14.2016.12.day.day11,0,soil.face,1.4,CMU,early,16-14
soil.face.CMU.16.12.2016.11.day.day15,0,soil.face,27.5,CMU,early,16-12
