axis1,0DH:ubiquinone oxidoreductase mitochondria,Acinetobacter baumannii B (s),Acinetobacter rudis (s),Adhesin protein transport system,Animalia ( k),Apiotrichum ( g),Arginine/lysine/histidine/glutamine transport system,Arginine/ornithine transport system,Bacteroides E (g),Benzene and substituted derivatives,Candida ( g),Carbamate esters,Carbazole degradation carbazole to 2-oxopent-4-enoate   anthranilate,Carboxylic acids,Catellicoccaceae (f),Curcuminoids,Cytochrome o ubiquinol oxidase,D-Methionine transport system,D0 polymerase II complex archaea,Debaryomycetaceae ( fs),Eurotiales ( os),Fatty Acyls,Fatty acid esters,Fatty acids and conjugates,Fatty amides,Fluoroquinolone transport system,Geotrichum ( g),Ignatzschineria (g),Ignatzschineria cameli (s),Ignatzschineria larvae (s),Klebsiella pneumoniae (s),Lineolic acids and derivatives,Long-chain fatty acids,Medium-chain fatty acids,Monosaccharides,Morganella morganii (s),Na -transporting 0DH:ubiquinone oxidoreductase-,Oblitimonas alkaliphila (s),Ornithine biosynthesis mediated by LysW glutamate to ornithine,Peptoniphilaceae (f),Planococcaceae (f),Putrescine transport system,R0 polymerase archaea,RNF complex,Rhabditida ( g),Savagea sp009740415 (s),Taurine transport system,Tissierellales (o),Trehalose transport system,Trichosporonaceae ( fs),Type I signiture cas proteins,Tyrosine biosynthesis prephanate to pretyrosine to tyrosine,Universal Cas proteins,Vagococcus A lutrae (s),Wohlfahrtiimonadaceae (f),Wohlfahrtiimonas chitiniclastica (s),Yarrowia ( g)
Carboxylic acids,11.786091631574887,34.960646881486,12.989321740585352,11.320491915387466,-1.3983744486527139,-4.618922153089594,6.437724825619269,3.9619276265108394,1.1445466124948647,-4.983053349826483,-6.218507260575154,-2.720592346691213,8.324875146351939,10.30076337147032,4.025833881449679,2.825315569821823,3.9844664787993707,17.599764429958345,-8.085036159294942,-8.675124765684473,-26.137474830279917,0.6418808950489598,0.7670482248168593,0.9289783840081972,12.750131953259213,-9.661964137695715,1.7152563138688923,-0.007590626891709418,5.720340926242249,4.20825499866142,16.784986286999597,0.9409668565438001,7.244736841373546,-0.11789065973949593,5.172240608675415,12.602561440580432,9.373644786881833,-2.4069786495076415,5.932449062321861,0.6781861138814165,-1.4876534722506132,2.4802344571408854,-12.76712667728498,12.112234139327068,-8.862553151133419,0.6441922728951884,8.022300005407851,-4.391522266528666,-19.898873696376363,-5.582765013480893,3.7544823597993906,6.373351750016079,-0.3109694286140444,6.324823246365848,-16.86782376610062,11.049732954910858,-4.877600892905127
Catellicoccaceae (f),33.13416636603461,-20.375448068726424,52.664411971445666,36.11129092704399,24.20393880553006,29.170453161657235,22.806018384198538,53.08851177315572,93.04705358792057,11.500977731770686,73.19991073128877,7.2802342994245866,-2.3587567821705395,4.025833881449682,98.64044421670783,6.390267080640088,27.606387103707384,63.91632394361272,21.138216361209295,89.58137081318579,76.5970936710333,8.912352147367017,8.57157331845556,1.8165817375396354,17.584375943092837,8.276769228384506,46.77906259320633,106.54855626138107,101.04512430855817,89.39798261000668,28.721333312631028,12.654784762084134,13.252448789812469,4.729721323901796,7.438479274729733,48.206435993081875,71.69829421703204,153.00935286127176,0.7597868145197744,105.2605576447858,108.37118711968154,42.1339088750717,12.929826698699127,64.10211252852085,45.13706296237915,119.41967716893089,34.70758996025216,103.65529155059882,35.198956773210085,53.761339900911665,55.95277545599274,32.92885601278824,48.06253638724399,99.1954695595047,115.33035513717432,90.90697110073845,66.16498467265404
Curcuminoids,5.390647060087598,12.718801450795567,8.435572817241468,6.226907304858985,2.405375024526247,0.831310130360233,5.868707438326524,4.833630871448807,5.103771735460148,-1.322954136350261,3.333384284766926,-0.9556895125464426,-0.04256398458994126,2.825315569821823,6.390267080640088,1.4920092541684833,5.277350777983945,7.8195696749315475,1.1241969245456491,1.596446942511046,-2.471814191892313,0.18683472037722718,-0.027798570085114258,0.02544021442532503,5.36987322412344,0.8692012712725146,5.637778856599599,7.332197089956603,7.428744831112509,5.33485318079182,6.946009490673381,0.4262947155836718,2.706336311381099,-0.040427499260901445,1.5909856127521538,8.072781008376205,6.5219474781038285,10.03154815481896,2.8141640976917692,5.715682745018298,5.255272550748594,4.767876217790227,-0.15165519618228185,6.932139759235922,-1.3395700367570669,7.159182875495586,5.461955491427609,3.8302661828084643,-1.3122993242199787,1.396091105256477,5.330994667141441,4.107681239724254,2.8535060789006006,7.773984041497527,0.4586069036114433,8.92891790235555,3.4647056838737975
Cytochrome o ubiquinol oxidase,21.121825220482233,41.14287844561756,33.69412813437822,23.95464395579848,18.881820286544823,15.554244488824805,33.242655844420035,24.623037870770435,25.12377667985762,-1.6112466136616472,27.371316810034568,-1.2219211713475104,-3.3013484509076965,3.98446647879937,27.606387103707377,5.277350777983945,27.689749438797275,25.081378352768617,24.21367140659522,13.496555630002481,13.76109633833713,1.2082543786133892,-0.47150390441956513,0.29163431407526075,15.660473757665876,27.395973436859613,31.671023533772036,38.764759484078425,32.81816853582834,20.92639688253925,23.46844207835212,0.945877209036561,6.989724244375682,0.643209605282101,2.6219757913399464,32.71624104000838,23.986159965841132,58.740756533502555,15.829206054962675,29.771592908631852,27.345001692991797,24.630829302364763,23.127956965700587,24.552750910387736,1.6494695994253394,37.55052361922629,22.700567776386876,23.166981198240755,24.526033771256238,16.046951956300937,27.268529299365227,16.484289688083393,17.240154240026552,34.13667824442816,16.868173271077367,35.99547039166231,23.618696765356244
D-Methionine transport system,50.64650393871333,51.28341062489305,52.874218474187344,43.345581789693156,21.465956575456133,27.894103614592776,38.7384571534106,45.68432092375842,60.487939209695405,2.74631145116836,43.41966515510196,5.616676584156934,33.66722093850887,17.599764429958345,63.91632394361271,7.8195696749315475,25.081378352768613,73.88401035802877,21.602585293780265,37.0678779498119,8.498153246312476,10.763435713500648,10.375991247203544,6.76897762215608,28.044490472721584,16.030793942894494,33.525119295019564,63.0310617469322,70.49142079197159,57.81548642457932,51.69867485524722,10.382628373463655,19.607292206016027,5.825805689115791,11.936499349060746,50.99353531728373,57.36484546729292,95.40514754106918,24.853206681050075,69.96579587900666,62.72153158586518,29.960174734269884,10.162067705309298,59.65998237724794,19.539467627542717,76.94536582082881,35.14085738423538,57.71253875756232,15.901956786425291,34.356579849810295,45.28363300033588,32.26980480268033,34.359933759112316,69.54410894568781,45.15222062490128,71.838317158792,31.868356026840956
D0 polymerase II complex archaea,30.08940064931482,14.65403617006386,19.46094233007121,17.761292251004832,34.535149635731436,50.66611571629367,49.194791033860255,32.95772920689987,29.647091530120463,10.742235168336462,48.930047195694776,12.050319618030672,29.436895100396995,-8.085036159294942,21.138216361209295,1.1241969245456482,24.213671406595218,21.602585293780265,67.6779480569228,18.572934835768677,46.613210443735106,8.901273580081504,6.720859346626234,7.146961596182521,-3.0254308266052856,79.40999884507177,31.566030217268235,35.653943871256644,28.371525426040314,13.531309469339284,19.454627379961565,2.9832704249410353,0.054641427123837794,6.676243594009242,-3.5262751888810686,21.337099216798805,13.861872121963637,71.68870441704581,34.650326464985305,39.77078831865506,29.64054755197462,21.310366470133356,72.27722911058409,15.950450589684642,23.86290666824376,44.20566534016017,15.80722899751007,33.08373675131355,87.91107043451805,41.027384832224456,32.17945894269886,13.689088326237433,27.84855779197023,27.324545768651056,40.49479556537156,23.61487434364121,27.061852048750776
Debaryomycetaceae ( fs),11.763644398647717,-78.46814830486858,27.881716590957737,15.58126098988314,18.373087035059267,27.2954919664303,1.5161826696674332,41.02733088317681,87.17385683542932,17.884866814394726,72.43939149265145,10.43377363414185,-13.822281101140026,-8.675124765684476,89.58137081318579,1.596446942511046,13.496555630002483,37.0678779498119,18.572934835768677,100.00332277375631,104.60889330040979,7.608285536211247,7.834176621404839,0.13831832589217483,-1.4286964427315052,4.693368960116604,34.7495208038307,97.93512613306507,87.78908234282056,82.34636839604649,1.1752503683312545,11.825346878073402,3.15750698142301,4.423343434874058,1.1775615014109078,23.753367699565818,56.22344928269766,140.7834331572251,-14.423839413355271,98.38767502429215,105.94757490618778,32.0664748945715,15.387152782701914,44.474791041660296,56.26876828260133,110.59322041487172,18.606434510807233,105.48831159923425,45.93380217923887,55.34327733903735,43.519032053792884,20.921908587009703,43.649982277642565,84.73954800193488,134.3566040062636,69.92760632489585,66.38675878672008
Eurotiales ( os),-1.5417706277789291,-116.82723694511975,10.130815813370733,0.7128622354214755,27.598976029503394,43.075758429939704,5.055375438688955,37.822873075862404,80.77390590399682,25.381254125432193,85.40314085164533,15.491443590243897,-21.380015390747708,-26.13747483027992,76.5970936710333,-2.471814191892313,13.76109633833713,8.498153246312476,46.6132104437351,104.60889330040978,144.40972664715534,7.077247380157025,6.337194839989671,-0.15201477855855844,-21.339272040165273,40.54833874117068,37.572153344839805,95.3803739554994,74.40091880199893,67.61821382587675,-20.708141267496462,8.9326470800265,-8.8352897112723,5.244743068613747,-8.295000499157963,7.533466164937839,37.34371910437602,145.6415880330526,-13.214334233516126,93.6647570489217,101.47960019898372,30.81266836718259,52.847462463481,23.20533908790623,67.25279820397779,106.14711234447219,8.456358939828718,106.07999533730175,94.02812903743501,66.49423676425734,40.60756545749077,11.766598226753969,45.246429458413324,70.84001511341499,152.35196083680492,49.81687420948903,73.28156217019504
Fatty Acyls,8.664870502987888,-0.6241651094761729,4.047808315404291,4.530330500252247,4.780103892921543,9.711700608176502,6.200196318026367,7.688855310873419,10.364175336216263,3.0066218865658456,9.64564129966626,3.538139002031348,11.822384650640911,0.6418808950489598,8.912352147367017,0.18683472037722706,1.208254378613389,10.763435713500648,8.901273580081504,7.608285536211245,7.077247380157024,3.240790160886071,3.2706105149560525,2.3611437848780823,0.28464454981399046,8.774396687104883,3.1933961911278175,8.226713955288123,9.86682366999692,8.258471215043933,6.273035796632209,2.3099452599279084,1.71555047606722,2.073473567713225,0.8868984083678766,4.229448902763749,7.014130975563536,15.303430101856344,5.794423960423284,12.676808892351712,10.426854246511601,2.723536095338084,7.832663946487864,7.461110370133624,7.9326951887999515,12.726570320572606,3.089006206082553,11.234416670586747,11.558851571711726,9.54091591094861,6.790107232338616,3.9564962529478334,6.832448352914682,9.110078629782135,12.329200534657474,8.182898042658953,4.807793502988111
Fatty acid esters,7.786744964858724,-3.249569838711176,2.664051017411914,3.5572426738697382,3.4905115610836943,8.567197451290125,3.906016608889037,6.656968715590743,9.969718872927846,3.1236120270834626,8.363034493124827,3.60523616813307,12.082127156808308,0.767048224816859,8.57157331845556,-0.027798570085114375,-0.47150390441956513,10.375991247203544,6.720859346626236,7.834176621404838,6.337194839989669,3.2706105149560525,3.442598248755937,2.3513427742213646,-0.2055986549601897,5.984510623528394,1.4424001232573231,6.950719425814075,9.168271658289182,8.321029786474941,5.351508684614259,2.477907687331808,1.632943185670271,2.0624021315426138,0.997993437148192,2.8150424165762473,6.663876295976808,13.024029466317499,4.524749156089136,12.065764763748358,10.065326147684438,1.52369187015617,5.415283726260607,6.993785865434861,8.214501924651584,11.743621553649962,2.102699585920039,11.000164467894725,9.127577804973676,8.848483839999874,5.605379141670813,3.3841052205008317,6.187422149148229,8.300280460158106,12.3787954173688,7.241121578983137,3.8731437988199766
Fatty acids and conjugates,6.806380363270234,4.385110628124315,1.618390575294223,2.8714337036822046,3.2174770982491196,7.06854981965196,5.599122537197847,4.125050626919718,3.347510848440652,1.5599558918898264,3.982445757800868,2.5014415483504417,11.301722652444889,0.9289783840081972,1.8165817375396354,0.02544021442532481,0.29163431407526075,6.768977622156082,7.146961596182521,0.13831832589217394,-0.15201477855855844,2.3611437848780823,2.3513427742213646,2.0831097722019423,0.14243714403182775,8.092737342677388,0.6747782873889128,0.8409727918849262,2.802227533229977,1.6693637028799175,5.288599800030857,1.2169594626992652,1.1741737157557097,1.5561982923958888,0.5876183183510608,2.0746220215685685,2.2813402316168627,4.426960382540759,6.201908527174835,4.688416029945354,2.175136244194668,0.35004670692158957,6.539625675531246,3.438855589564188,3.408164893868409,3.9492095138455197,1.448670417206181,2.9742224397744663,7.942250318401477,4.964983458681347,3.1757029598066837,2.0481703368934663,3.2218756418959713,2.335044489361095,2.214417094451953,2.432238840994756,-0.004047707340304367
Fatty amides,18.83855882815571,51.59005564137178,28.293626454941812,21.520621570397573,4.682157141193792,-1.9893912138965233,17.547176651997155,13.47615041168459,12.411172658989273,-6.58223896582541,3.8692196429764985,-4.53879245530407,2.1956269762733887,12.750131953259213,17.58437594309283,5.36987322412344,15.660473757665876,28.044490472721588,-3.0254308266052874,-1.428696442731507,-21.33927204016528,0.28464454981399046,-0.20559865496018948,0.14243714403182775,20.764897011812767,-4.6000401884316435,15.112134912335943,17.98956013731557,21.006640053706242,15.03608553590972,25.959021608390167,1.2601121968611388,10.647090144565446,-0.521918118707059,6.77567261841349,27.088991363254678,20.998493978462808,22.60504635442369,9.365516254906652,13.379023039748565,11.461877060185538,13.353087044927449,-8.698037815131539,23.40354254609587,-9.422083987539839,17.149142613813467,18.02584834005847,6.047233054654064,-16.092502326041927,-0.8658097891495806,14.825761306089845,13.483310314476947,6.202032587181242,22.34883756537609,-9.502885126922147,27.99432862764709,5.788213100870891
Fluoroquinolone transport system,32.027092553869075,29.095145763081977,17.427136386169362,17.323485181794414,38.75037266102196,56.10218612675555,58.89646456605732,31.626885315792478,19.085488587253003,9.858568996539494,46.508153918165995,12.402596410270574,34.719399685176825,-9.661964137695715,8.276769228384506,0.8692012712725146,27.395973436859613,16.030793942894494,79.40999884507177,4.693368960116604,40.54833874117068,8.77439668710488,5.984510623528394,8.092737342677388,-4.600040188431642,96.59862882586788,32.57285302176132,25.59814550103239,17.20402163543422,0.15406512709483167,20.87906711978368,0.9328186672995538,-1.5636967842247351,6.957675407383019,-5.294256885799587,20.439512420624926,4.963337862379458,61.45316752039118,43.50613558119228,29.174963160729,16.11007626164623,20.26415900798523,86.40822355904277,9.19730103026475,18.55505766644542,32.67609169408557,15.086112509073743,20.45572040131579,100.20305369299062,39.452378225778965,30.543773126500447,11.883030158705312,25.383832517641892,16.60476846558952,25.486093343636927,14.385156998069482,21.594710144694496
