axis1,0DH dehydrogenase ubiquinone 1 alpha subcomplex,0DH dehydrogenase ubiquinone 1 beta subcomplex,70-9 (f),AI-2 transport system,Acetoin utilization transport system,Actinomycetia (c),Actinoplanes (g),Alveolata ( k),Amino acids,Araeolaimida ( g),Benzene and substituted derivatives,Carboxylic acids,Chrysophyceae ( g),Cystofilobasidium ( g),D0 polymerase alpha / primase complex,D0 polymerase delta complex,D0 polymerase epsilon complex,DP-20 (g),Dicarboxylic acids and derivatives,Dipeptides,Diterpenoids,Eugregarinorida ( fs),Eugregarinorida ( g),Fatty acid esters,Fatty amides,Flavobacterium (g),GMQP-bins7 (g),Heteroaromatic compounds,JACVSB01 (g),Kribbellaceae (f),Medium-chain fatty acids,Monhysterida ( g),Monocystis ( g),Multidrug/hemolysin transport system,N-acyl amines,N-acyl-alpha amino acids,Neogregarinorida ( g),Nitrogen fixation nitrogen to ammonia,Nocardioides (g),Oligogalacturonide transport system,PTS system fructose-specific II-like component,PTS system fructoselysine/glucoselysine-specific II component,PTS system galactitol-specific II component,PTS system sucrose-specific II component,Peronosporomycetes ( fs),Prenol lipids,Primary alcohols,Pseudolabrys (g),Pseudonocardia (g),Putative lysine transport system,Pythium ( g),R0 polymerase I eukaryotes,SKKL01 (f),Solirubrobacteraceae (f),Spumella ( g),Straight chain fatty acids,Succinate dehydrogenase ubiquinone,Triacylglycerols,Uncharacterized ABC transport system,VAZQ01 (g),thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]
Medium-chain fatty acids,10.449464139256294,9.051519759788413,5.335955603539171,7.371681294131081,9.462057515969706,7.965323311044858,6.182676158206419,3.9724503964958537,1.1346601651319912,8.63796995284002,-0.2737095536834117,1.6745373060884408,11.935349140692297,7.696018826805611,9.753440191149599,12.268100695429219,10.17219309044896,5.810818612296674,0.651014567484394,1.0283354560873512,0.21957861362354897,7.667889780369998,7.0392301244009765,1.1367558001880171,0.9750870452652851,7.395368662492095,5.074732017635086,0.3930787101226917,8.164096846496093,7.0850827256853535,3.809789518094325,8.180123999259786,6.998879742156909,7.545054842202173,1.1470683668227966,1.174909821594677,7.199555936298538,10.297853966838627,4.4387599329127525,7.0401970443912925,12.69587539049077,8.695075506927635,8.611338495859465,11.730829931241006,5.78218345948851,2.4114551208577173,1.366764806871355,7.441914409260183,5.448639142360568,10.646192798607204,7.948849963773606,7.666928830785409,12.115664671200184,9.584909248713483,7.644885958570046,0.9887360527303044,10.295040812148724,0.9550724110417255,8.03193541243068,7.175823531356201,10.007123170441208
Monhysterida ( g),23.72119143523186,20.748028363659618,40.54329946986023,22.836374325020497,27.708399488895225,57.13258060127967,18.382482768876535,44.54119203665379,2.229520040331831,38.387959001389554,4.370797041915204,5.524995778631547,39.01730743134067,31.2371429194177,29.651831108168185,29.71437461451485,30.984912839399637,65.40678542659168,4.232498799255294,2.0155876435496607,4.646252709154708,53.49211489824682,62.85183831381487,3.8260185068982797,3.1632435783235677,31.27246470475912,42.596535199951425,6.289934331976337,23.12467278095854,56.432457879617616,8.180123999259786,30.997030027062685,42.76769171024923,19.58913261649866,2.949597614568464,2.246739064506222,51.47846342346378,40.38866761608096,17.679755491570653,29.66844375709074,30.420429454247536,28.65374760137645,25.472376673390418,30.644358539439974,62.427765068406416,6.659857324337109,0.6006658314871379,67.253870421187,17.99130545179162,25.574175754364134,36.832050626852514,20.484538758682472,62.90236799404984,66.52542887832848,33.26721736039128,2.9853619695116786,26.88635841929833,0.8389525606850028,32.70768602523908,71.66131998638437,38.58874549201541
Monocystis ( g),19.316541850483645,22.770565099771343,75.32050850995758,18.677574622233507,41.610203958673225,94.01882754946939,17.325754755303617,79.1613780203209,1.5242054461079615,62.68940535475064,8.641697091968918,8.435180107166016,51.1745612939349,44.89680979760493,28.229157397434022,28.785587048363084,29.5124101053649,116.10318253412036,7.946193940900841,1.4050499255895947,12.21979721926808,97.34321427289001,109.12964319819716,6.350886559614826,6.491620201551135,47.52704634716068,75.91569427220102,5.469867397285659,19.062143171546158,112.51066867092733,6.998879742156909,42.76769171024923,72.58240020201319,13.157434847957036,3.474559850960107,1.101198130650942,87.20862418705093,51.499185303481156,15.876192092964683,45.17866808558392,29.33101407438552,41.91345169642198,29.314041301594294,38.81673436604462,114.71563710980055,8.18300774281962,-4.1166783682667445,115.47577981127758,21.62832472541586,33.008499791686724,54.70466168938913,13.242116100293838,93.8748895106779,109.09796476808796,49.021406632540646,4.7940386202908964,25.432383816023716,-3.2478209485158778,58.595630863498656,134.10822418720184,52.37586841417095
Multidrug/hemolysin transport system,29.125264840445123,7.6129725858399,0.44723890803587274,46.53453759000088,-7.161129329705879,36.36814079546531,28.952325701728167,24.537865052357688,2.6118725889535837,3.667614752711618,4.198124439893416,-0.49407831920287637,22.140966469825166,17.653702690738466,45.60344688967369,27.36410857550917,47.75346935987076,36.83000951388997,-0.8096430647287944,2.271551122306189,-8.495775828989576,3.2890980494329853,33.28149883003893,-1.8270552297491678,-5.605500709967964,11.817463377120974,14.570731866523719,22.320721060930094,41.936203888701165,-20.58642007328914,7.545054842202172,19.58913261649866,13.157434847957036,40.12631005826524,1.2675131387358067,3.768033031136778,24.305560815422087,41.10234870810809,40.643586724395725,10.731681494421855,27.98445013179872,3.0491470102797673,21.873123398751307,5.761943311508565,21.295084772001278,2.926179855368802,7.907913823231533,40.40220284442767,17.948661961450355,-2.5852730603900027,22.861076656618696,44.97708528716898,47.52505369514857,41.30761030304179,19.218670240680723,-1.5388673086141822,32.64213829951501,9.517134282683886,-17.641581742477978,13.02694156082916,28.75634079599597
N-acyl amines,2.899429336457147,3.4166671093655583,3.2877432522579673,1.6030246551509562,4.832576812925962,3.472856724649006,2.0809323423694828,1.8991104116310062,0.31150937790730276,4.196633642363646,-0.040549452520896784,0.8078842907758399,4.436762952669865,2.822977125116569,2.014858579756977,3.674220188543897,2.103652433111169,2.899724621929341,0.44309142795537726,0.2968457143527518,0.7660935025988698,4.804718052646856,3.331937536527533,0.5982723670561042,0.7442965982562789,3.1644256377386046,2.9111491163707237,-0.9007984803468295,2.0779355825384247,6.017925730831814,1.1470683668227963,2.949597614568464,3.474559850960106,1.2675131387358063,0.42887941394303847,0.25122028990821377,3.188826987782137,2.849663686079222,1.0604930653346436,3.004662851596282,4.159077081710806,3.848589409554335,2.8098408104837342,4.681367518853919,3.525472516741241,0.85401731055427,0.12095059628306222,3.381012413653087,2.5733661092621434,4.763051312372507,2.916166940661598,1.0235229761199214,4.1872190001131715,4.074861112296811,3.220376566001193,0.5526817276651919,3.1150126047821556,-0.09729434120645764,4.850910572420815,4.641900973695734,3.7631782426256786
N-acyl-alpha amino acids,3.5640342724366896,1.8549699435305096,0.2628036281300273,3.1341314186623355,0.3336745430313668,2.103793311502574,1.5253956531382262,1.36886687116784,0.38552376066087957,1.0736023698940556,-0.00888510478198798,0.1526583402072965,2.884977124473197,2.1345444828842846,4.525053262209631,3.9160973734703193,4.715389461069397,1.799158597745391,-0.055332672746552874,0.32660224194660986,-0.780200314283584,0.0038521823415473833,1.9383705920050454,0.04596054355361995,-0.28902560704300906,1.433646353073709,0.5764996208698987,1.726942868496453,3.0164380231845502,-1.9616908125218266,1.1749098215946767,2.246739064506222,1.1011981306509417,3.768033031136779,0.2512202899082138,0.4989812371283202,1.9345405345800954,4.075874372780525,1.7183475453669854,1.3806456881263833,3.455305863111238,1.2820732136792066,2.527811578971752,2.2055572974020787,0.8405291518206519,0.6225022058705209,0.726476133872044,2.242688616750365,0.3098788640834962,1.1692739479025986,2.333385014803181,4.22966738265086,4.089702748566185,2.64305900233009,1.506179440168778,-0.028643335592816233,3.179530343730855,0.7683721242204212,-0.39316921815034744,0.5458668680727253,2.453713208360438
Neogregarinorida ( g),22.072927721519342,17.568036898300797,90.56056033905526,24.690337076673575,29.08554022609355,120.8706280403876,12.885669870642943,108.74888629213088,1.6643536530344087,68.4019642032396,12.498964502921858,7.560703711921606,55.95304776448437,55.47323019754789,44.8620115668103,32.99901648359503,46.81057561887124,157.11023615491862,8.474693666366644,1.3102763686318055,9.705726606833133,109.95263265059924,144.72725989504448,5.675278763288973,3.5214520211434306,53.77684748785606,93.16568759203561,21.080651858470542,21.84833035828875,116.78409184462663,7.199555936298538,51.47846342346378,87.20862418705093,24.30556081542209,3.1888269877821376,1.9345405345800954,114.41751950241871,72.03616344566137,17.2560563488124,51.371646734371446,27.005334055155036,40.86822073522295,33.266965994336005,34.679398706860965,147.650400100894,8.946316972601787,-4.535525842187648,154.29115762113736,10.536746669180017,20.643668991482752,69.75539250669509,28.11767142741358,124.78860384920148,141.3571229309928,54.37833195446822,3.1299718816918336,26.520090937285456,-1.5940700276156876,52.75062688557139,168.50095256397637,58.918168105828414
Nitrogen fixation nitrogen to ammonia,34.350297015097254,17.365191843422995,44.667584068843944,42.97084704986857,12.00346099160951,81.5884492316241,24.700115248199324,67.81894312014254,3.1021148189378795,37.864289629981954,8.023704152219622,3.8832279927528965,45.63677241904699,41.03131980391075,55.63960220036148,39.69482278187921,58.125441015852,98.25280134382024,3.5831044063546313,2.615652654675693,-1.3875521159865247,54.967005464702446,90.99995163849219,2.019059136702521,-1.6903333459352174,35.64737805900638,53.64797155210608,25.27094533755627,39.12061365411669,41.705643898665436,10.297853966838627,40.38866761608096,51.499185303481156,41.10234870810809,2.8496636860792224,4.075874372780525,72.03616344566137,65.40430745978976,32.89818147015707,33.799824708454366,36.093340716386535,24.872595715401587,33.506023555303564,25.70024948424759,83.75172426958268,7.415318303413266,3.58820900816041,99.86767112204645,15.188940584744902,12.30457374299801,50.945113247903215,46.43182466716569,94.04351268282151,95.26088685185418,39.80773811514748,0.7557691605067987,37.311930776763525,5.856865208715295,16.285311552998504,89.05641781828517,49.158602143195864
Nocardioides (g),27.74627239905508,7.222484448821071,-8.245925126375056,80.96126241544331,6.921949303987101,52.951198987430125,73.4684529149419,20.962253877210937,1.5109925141319862,0.8480192985853261,8.372993642805689,-0.08637781938237099,23.88330478371499,11.129698926903071,38.9708132204393,16.74630981353707,41.388673318365285,40.93594116831931,-0.13880899242108002,1.8624443063634577,-4.337536767624337,15.481902994716569,35.512627702906755,-3.21567574648378,-4.797962168839208,13.82483881818296,25.242009023654088,11.770483273792877,74.99466758226406,-3.7729887554154837,4.4387599329127525,17.679755491570656,15.876192092964683,40.643586724395725,1.060493065334644,1.7183475453669859,17.2560563488124,32.898181470157084,94.46535112664455,10.904673455835411,37.9449007599289,1.4129643556207014,24.267785246575407,-1.4518142147824022,24.45927551523349,-0.7138136657691074,10.946963609377836,47.809867647114274,73.94460030665668,3.8080075692026045,18.279361658031284,40.85069818062663,45.74228805977417,53.4652697809263,36.66480912469856,0.18229096638844527,49.35418497076488,11.656031718072338,-18.98341373597633,7.74527290704547,48.08762088987233
Oligogalacturonide transport system,18.64249757328544,21.589347892392592,45.7919831447188,14.181044609485916,34.57063257510939,55.4294862254583,14.727372413741636,43.49407173855561,1.745419573101513,42.7382612126567,3.9465615940880414,6.499192655479506,38.317014051903215,30.278734335153242,20.298777162231243,25.58637879084884,21.2088978619385,64.08485229544566,5.109814997588357,1.6325460823301385,7.998109487726913,60.776066168418446,62.14832121857169,4.85587330814047,5.31222056076163,32.43760000083528,44.91197885532001,0.11730020492394466,15.810611261977257,71.35180115357697,7.0401970443912925,29.668443757090746,45.17866808558392,10.731681494421853,3.0046628515962825,1.3806456881263836,51.371646734371446,33.799824708454366,10.904673455835411,30.831848003152206,27.208448457515633,31.877726843746583,22.913590234922527,33.14431506564465,65.20445177321662,6.608982859010076,-1.4634937154351748,65.3341219558845,18.05063621482935,30.446974179997678,35.228048864743464,10.107063477211309,57.932788758430576,64.50977871448212,33.28669667455288,3.959256681280566,22.086517060771968,-1.7160990082296814,42.57811136084297,77.78406372620039,36.69265720025366
PTS system fructose-specific II-like component,37.70922274745708,33.06877806128148,18.960457391188836,40.9511369003541,40.888594614355576,39.401621408113066,40.43382987236714,16.553920275960966,3.6907640937900523,32.42824199048267,1.0997269136449732,6.477763372681459,45.577667107271495,26.975082424760416,33.76467065842056,40.958841654192895,35.43571999371817,27.890246596746355,2.9247933509639843,3.5752133680461813,2.8724155395854316,36.43333339812411,31.159135609086988,3.758810069773378,4.011077432008511,29.304023388084182,25.783394384248258,-2.2486735499115755,43.19576736087464,36.61327365066158,12.69587539049077,30.420429454247536,29.33101407438552,27.984450131798717,4.159077081710806,3.455305863111238,27.00533405515504,36.093340716386535,37.9449007599289,27.208448457515633,50.55617666190891,32.14106302667059,33.044668293518065,40.61444374144145,27.19392728094985,7.532807462836894,5.932022399262581,34.97589829356584,42.400674532517144,41.7372583531563,29.13286773856532,26.65528169158925,47.04965343780406,44.153764271389775,36.37336814137827,4.382254908171758,44.55285786723103,4.176201496174859,30.44638758597883,29.629807469136676,45.74222366153583
PTS system fructoselysine/glucoselysine-specific II component,19.818425660509327,29.992162531054465,44.50304793504317,5.029553291659253,49.14616031060421,41.505834392266316,12.572264758987203,28.875565679140934,2.1267401638741705,47.27303203200595,0.8340507833037002,8.447154582607979,41.46286086561348,28.779117641128824,11.357703239768345,28.71237139467048,11.826754653339593,42.899449043449664,5.621390109440868,2.0608378142557813,11.057129242000775,60.78660213601819,45.28707729240439,6.666539179309543,8.728312934763014,33.40868186281475,38.04440987857411,-10.867302051369975,9.902704502851057,79.8321283485106,8.695075506927635,28.65374760137645,41.91345169642198,3.049147010279767,3.848589409554336,1.2820732136792066,40.868220735222955,24.872595715401584,1.4129643556206997,31.877726843746583,32.141063026670594,39.38576772348567,23.48675214349993,44.30898802683944,51.17933268832577,7.9293707397917155,-2.151639449635161,45.46860830106535,20.034845507504677,45.34231221903975,30.70769891600709,0.06282954596487722,44.34301564197171,48.81220267514853,32.19368834396594,5.807716824984437,21.94992006061104,-3.9765783987822356,56.47814801602247,66.85236838040464,34.793203785014214
PTS system galactitol-specific II component,25.94132248824191,20.96963247426382,23.584591565226475,28.170418035741154,25.062615331573046,40.98475398116326,24.354580983807182,26.716886303786456,2.483977464204933,27.695092537991655,2.5815908068373816,4.516550254026969,34.34819442928837,24.20420410318845,28.662152053500876,29.460072017034975,30.01040403584366,40.504828935097,2.6997806779110842,2.316684859841278,2.078534300825984,35.23003277511334,40.25886257452198,2.738629987251874,2.1682005211538242,24.408763176702337,28.081119268637178,4.072243635518395,28.63847148365555,34.14951454847691,8.611338495859465,25.472376673390418,29.314041301594294,21.873123398751307,2.8098408104837347,2.527811578971752,33.266965994336005,33.506023555303564,24.267785246575407,22.913590234922527,33.044668293518065,23.48675214349993,24.295602392681726,27.591579458333314,37.51297720158957,5.719590057518534,3.0845423200134823,44.086384366017285,23.730178931835592,24.974341569312973,27.779072881626682,22.283225382362474,47.27952271056558,47.06374322098102,28.337520955807122,2.615820113611559,29.87898434449482,2.7300580291312047,22.55039581440895,41.44941251812679,34.755009153588155
