Eigvals	3
117.49354291993724	31.141199548068563	29.26466474872754

Proportion explained	3
0.8831678473672415	0.06204201937532234	0.054790133257436056

Species	2333	3
metab_90	0.011638399475252196	-0.013790058269555247	-0.017859475434340327
metab_97	0.0018787529753583512	0.0005664142242176102	0.00014226572797766083
metab_100	0.017848557834353553	-0.009142186805089617	-0.031814486335999995
metab_101	0.15762617844326968	-0.0037161382029086815	0.023636961472065163
metab_106	-0.0022986114947285185	-0.02340013485347472	0.02034039143610754
metab_107	0.005472100464071992	0.008437119645603204	0.01637360647673441
metab_108	-0.07575585335645138	0.016347749742266764	0.03128574266981369
metab_113	-0.053217688536881906	0.004722541547918817	-0.005454766548399922
metab_118	0.007017679761905644	0.0011696590443848716	-0.004288336405893989
metab_127	-0.014556261368383753	0.004660749866665634	0.03474381205065264
metab_131	-0.02259981813199403	0.005537445310809407	0.019093362801636385
metab_133	-0.02348787443847656	-0.0033692890565132556	0.05385574877833506
metab_134	0.042619268328724154	-0.010617653702390829	0.08312274663412297
metab_136	0.03284012163575398	-0.003850978777332417	0.04562001802542664
metab_140	0.01080137356909705	-0.007056870788413225	-0.0023403731394876434
metab_141	0.028407914274265995	-0.006228005813632218	0.06436710358262915
metab_145	0.04499852222045154	-0.00023055519040545225	-0.015852434792804578
metab_150	-0.037995691800487306	0.040918826741613165	0.04463658922127909
metab_156	-0.001106171131189637	0.021739200839974056	0.03648529666455789
metab_158	-0.004232878472178673	0.0060324852943315814	-0.008896855995333007
metab_159	0.0018328741563744474	0.0005088711624708533	6.62001582916621e-05
metab_164	0.005271817388241832	0.0022591090927663628	-0.006824054338011038
metab_169	-7.797975746988309e-05	-0.002004777963278559	0.0016530375659142395
metab_171	0.0036256455333790825	0.007633171042259111	-0.0010411303858282434
metab_172	-0.033915952721596226	-0.0077739149917977115	0.006422876930236142
metab_181	0.0036416210668864107	-0.0015915964996699534	-0.003330623637051275
metab_182	0.021356661507292908	0.0995026441031435	-0.0012541857897359924
metab_186	-0.04991492299193824	-0.0032334344924944674	-0.06429641844725148
metab_189	0.0022823662242642817	-0.008445838988124985	-0.0016179061838671313
metab_194	-0.025563654373822617	0.015716340873412758	-0.040809050878437565
metab_195	-0.0025934626535199174	0.0031811560602454	0.004425174514877738
metab_196	0.0055507653357154164	0.0014362292556728258	-0.007694433645438724
metab_208	0.0025068916101943974	0.0007224313698329537	-0.001899216233247403
metab_212	-0.0007966529472058326	-0.027793933411605753	-0.021932860669867434
metab_214	-0.0020526953647098155	-0.01322237309593632	0.0011840540250618212
metab_215	0.04234232175680642	-0.026039173022098665	0.03923858471493764
metab_217	0.018303435385235406	0.013852320657110765	0.03204953041448695
metab_223	0.07023943526641799	-0.015133901363033763	-0.011933180472427939
metab_228	-0.004662124380130639	0.004972379753931374	-0.019517208710924033
metab_235	-0.0029101630865992997	-0.0003722856750562612	0.004719849419010365
metab_236	-0.0027748234569025623	-0.0023088958631389536	0.0026237382915384943
