axis1,0DH:ubiquinone oxidoreductase mitochondria,Acinetobacter baumannii B (s),Acinetobacter rudis (s),Adhesin protein transport system,Animalia ( k),Apiotrichum ( g),Arginine/lysine/histidine/glutamine transport system,Arginine/ornithine transport system,Bacteroides E (g),Benzene and substituted derivatives,Candida ( g),Carbamate esters,Carbazole degradation carbazole to 2-oxopent-4-enoate   anthranilate,Carboxylic acids,Catellicoccaceae (f),Curcuminoids,Cytochrome o ubiquinol oxidase,D-Methionine transport system,D0 polymerase II complex archaea,Debaryomycetaceae ( fs),Eurotiales ( os),Fatty Acyls,Fatty acid esters,Fatty acids and conjugates,Fatty amides,Fluoroquinolone transport system,Geotrichum ( g),Ignatzschineria (g),Ignatzschineria cameli (s),Ignatzschineria larvae (s),Klebsiella pneumoniae (s),Lineolic acids and derivatives,Long-chain fatty acids,Medium-chain fatty acids,Monosaccharides,Morganella morganii (s),Na -transporting 0DH:ubiquinone oxidoreductase-,Oblitimonas alkaliphila (s),Ornithine biosynthesis mediated by LysW glutamate to ornithine,Peptoniphilaceae (f),Planococcaceae (f),Putrescine transport system,R0 polymerase archaea,RNF complex,Rhabditida ( g),Savagea sp009740415 (s),Taurine transport system,Tissierellales (o),Trehalose transport system,Trichosporonaceae ( fs),Type I signiture cas proteins,Tyrosine biosynthesis prephanate to pretyrosine to tyrosine,Universal Cas proteins,Vagococcus A lutrae (s),Wohlfahrtiimonadaceae (f),Wohlfahrtiimonas chitiniclastica (s),Yarrowia ( g)
Candida ( g),0.5360497642333768,-0.199735216102507,0.5959486768173935,0.5541736853087258,0.7282856560525671,0.7869035778162669,0.5318244514104465,0.902748619108066,0.9047335212249914,0.693496926833149,1.0000000000000002,0.6026011646478561,0.1093852841330845,-0.22508219844715874,0.8561951230587439,0.3170219501452287,0.6042628385889325,0.5868146500998455,0.6909422522044868,0.8415061345160383,0.8255917186438277,0.6224369408844134,0.42473154089253956,0.32054093481196544,0.09863889562008192,0.5497096085068643,0.816004941429021,0.9143563880753067,0.8753558688457305,0.8145604940788445,0.3340155940138856,0.34250478292592373,0.23811961537668389,0.6779320280823797,0.04905864990219358,0.5892847511117812,0.7608525408197345,0.9655859690908991,0.2718625271244074,0.9364015810037136,0.9049867099228739,0.82481025481915,0.6236173006572777,0.7010578096361543,0.8252377697304158,0.9399700196071061,0.6335676487910948,0.920753566419351,0.7586727389131095,0.9693264937237586,0.9046480032445263,0.7242718460847847,0.9750818246016301,0.8648504150654395,0.8813959118636193,0.7909179721121391,0.8433941160446293
Carbamate esters,0.3735660305675321,-0.41444335822275136,-0.07257771025555934,0.038589988118502665,0.3628804906820354,0.8132298087594227,0.224963156744778,0.4578188555921568,0.4656500562624585,0.90421769134472,0.6026011646478562,1.0,0.6435861976062681,-0.37601343635581297,0.3251565030545557,-0.34706087652719364,-0.10300499233558702,0.28985365730629425,0.6497549133311968,0.46281645615163297,0.5718317490998858,0.8718143889683885,0.7667400590585187,0.7687920407490064,-0.44182474049019455,0.5597598290103971,0.10656231591338279,0.28919420262088524,0.3309869461720382,0.3331890170936901,0.06021439176406808,0.3347297799817964,-0.07638083391938003,0.8318962297889334,-0.19921696519468243,-0.048610863913416735,0.21926837074589162,0.41273298923565527,0.34467678953054015,0.517529822564372,0.43095487738331206,0.09069990714889459,0.6155623749043038,0.20995788452765798,0.8203399447462596,0.4455297058425447,-0.011802698582826891,0.5250460300256174,0.7432667002701575,0.7771367939462417,0.3642911258049231,0.18951688969614863,0.5902895424481589,0.2859712750783048,0.5942511972771656,0.17963481057718944,0.34684482705105385
Carbazole degradation carbazole to 2-oxopent-4-enoate   anthranilate,0.6776450241747733,0.3010755200932284,0.07175855351000919,0.2969247251132245,0.27189852687611554,0.576295300124278,0.42944202009673565,0.3003003813899104,0.07337039773955495,0.2616597967358378,0.10938528413308449,0.6435861976062681,1.0000000000000002,0.32275123423829416,-0.02955156875310861,-0.004335921462376373,-0.07806506775847163,0.487367906281029,0.4452391009333704,-0.17198770208398603,-0.22137811175359937,0.8171551418375331,0.7864760669194424,0.9743465584679487,0.05995405411308524,0.4395533706720028,-0.09183277089466789,-0.12997658588721028,0.03248011988770182,-0.01693458262901017,0.5374707947139992,0.30836559221472803,0.27654958091258613,0.7066488359039729,0.30446863184493983,0.12585674561978935,0.09250197151999463,-0.00611792446317299,0.734920939076007,0.12151627565023512,-0.04155561615350772,-0.11354478587470815,0.3513835078213002,0.23373565188691578,0.18902324538791151,0.04221697425035433,0.11689410681038792,0.004566940700200517,0.3017404414121913,0.30080866504180154,0.17825857018162175,0.25068826467277977,0.23054208646943372,0.005439807335580022,-0.08394699348270758,0.04557324440180348,-0.12452066886881306
Carboxylic acids,0.5696644888191573,0.7615443798260589,0.5563901836554452,0.6381240335416264,0.028823013581614983,-0.217103068081947,0.26784246208711004,0.19861818106516188,0.037374327702514004,-0.6156278916131162,-0.22508219844715874,-0.37601343635581297,0.3227512342382942,1.0,0.12629717473995847,0.7206866861179406,0.23592608400957857,0.6379650971634596,-0.3062130320859253,-0.27029238411875245,-0.6776894102662611,0.11109494245944497,0.204401178415541,0.20054637914335485,0.8717964240642067,-0.30629875737005335,0.08413377999809274,-0.00021368746642255035,0.1738971586786756,0.14479395145539672,0.7732400547552444,0.2238484375256895,0.7154628774421625,0.008747902029700695,0.9405506910635191,0.5627110960654506,0.38835399181030567,-0.0459619688938531,0.3264839463737672,0.019406888762633055,-0.041826117280490266,0.15042694143386087,-0.4454876410175942,0.5204222204580243,-0.4324547168688926,0.016201888879044793,0.5199137160538095,-0.12577287420732342,-0.5511315174456126,-0.25354753011113557,0.1823453582122472,0.4971336964473035,-0.018155485407269092,0.1950440609753522,-0.38458378651067543,0.35717726490725843,-0.2110452408627981
Catellicoccaceae (f),0.5175264831063652,-0.1434267379646428,0.7289830324921771,0.6577941586713595,0.5052285784212353,0.44407148264327806,0.30662226327430886,0.8600430863533126,0.9727603696231045,0.45916069977750085,0.8561951230587441,0.3251565030545557,-0.029551568753108565,0.1262971747399585,0.9999999999999999,0.5267514523556698,0.528229377488406,0.7487020965096823,0.2587123957993037,0.9019510719177714,0.6417805614243745,0.4984703980814108,0.4111891784094882,0.12672764255308083,0.38853894776859565,0.08479062877080788,0.7414810995024013,0.9692954411581169,0.9926431070989901,0.9939929094147718,0.42756795124802205,0.44824914689449014,0.469385683460496,0.5004917643390325,0.437114124487175,0.6955668497546981,0.959920575435448,0.9441729641321157,0.013512221676965759,0.9733743226678391,0.9846157919811219,0.8257942144333269,0.14579492008585668,0.8900432517046598,0.7117414810304076,0.9805801467734814,0.7268821926442273,0.9593356192706406,0.31503857901386123,0.7890187357885529,0.8781596413243495,0.8300211364396504,0.9067844221730873,0.9885152434123425,0.8497335018002689,0.9495906036714138,0.7668891931453959
Curcuminoids,0.6846036018704653,0.7279656586519798,0.9494159216207607,0.9222765163629891,0.5098340966204148,0.10663793657755553,0.6415616950568364,0.6367000603510196,0.43708047546540696,-0.42945383596278786,0.3170219501452287,-0.3470608765271936,-0.004335921462376373,0.7206866861179406,0.5267514523556698,1.0000000000000002,0.8210520517533898,0.7447694691749888,0.11187499864377451,0.1306957652072451,-0.16839602666350534,0.08496623456795786,0.009179108091503012,0.01443041865190655,0.9647468817467972,0.07240175833056522,0.7266049603446993,0.5423560415845797,0.5933828102302515,0.4823028086766917,0.8407708991470382,0.18934723461423772,0.7306211302954511,0.10218407246633553,0.7601839332575121,0.9471064059188377,0.7099790365671843,0.5033189659255829,0.40693606241133945,0.4297581140232726,0.3882307778128817,0.7598131530696616,-0.013904287356772417,0.7826143930372389,-0.1717497672977074,0.47775489138372307,0.9300996471488305,0.28823704690525903,-0.09550115066795632,0.16659913539202956,0.6803021433104985,0.8418815549605825,0.43774169787919326,0.6299077174176787,0.027473971991961645,0.7583676551047365,0.33650986778388153
Cytochrome o ubiquinol oxidase,0.6226671746194326,0.5466201318293326,0.88028317344696,0.8235779591968032,0.7847734508784453,0.4518496242107326,0.8435637817156407,0.7528861151167634,0.501314838818421,-0.12141153806951853,0.6042628385889324,-0.10300499233558702,-0.07806506775847163,0.2359260840095786,0.5282293774884061,0.8210520517533898,0.9999999999999999,0.5545192872668019,0.5593421406596706,0.2564816039628416,0.2176182428884221,0.12754792827889025,-0.08428931470488861,0.038399275575898596,0.6531012161034274,0.5297143553882306,0.947498794896827,0.665600579281722,0.6084993328529892,0.43915519279447846,0.6594058641351317,0.06825313966857399,0.45842939646007685,0.23307728871059255,0.29080867461696636,0.8909744440843166,0.606115234074891,0.6841339055052951,0.5313273091217134,0.5196181204695607,0.4689201741788055,0.911144200967753,0.4922151258651214,0.6434383235325106,0.04909093385152314,0.5816926687165556,0.8973136782289589,0.4046844669900008,0.4143136735825005,0.444506157005003,0.8077585282527004,0.7842431671303147,0.6139125455398549,0.6420676495655444,0.23457145519366882,0.7096677517521177,0.5824928588680928
D-Methionine transport system,0.914025435623555,0.41711147050332553,0.8456612314066355,0.9123135272048977,0.5604564597043397,0.4903583498355857,0.6017953314730454,0.8551437210025375,0.732485193949244,0.1266869888355527,0.5868146500998455,0.28985365730629425,0.487367906281029,0.6379650971634596,0.7487020965096822,0.7447694691749888,0.5545192872668019,1.0000000000000002,0.30549696982312297,0.431236268015964,0.08227182007735928,0.6955850434381791,0.6315786736845139,0.5456218703225751,0.7159907851199332,0.1897554772748154,0.6140039737931394,0.662545186343179,0.8001406086007513,0.7427660265256637,0.8892671275662216,0.5001099621562008,0.7580262734591412,0.6303190597589934,0.8104755931071493,0.850161145708598,0.8874105441316534,0.6802329563492181,0.5107045415714001,0.7475707098042519,0.6584486331656666,0.678479461597358,0.13239880086791084,0.9571371424146776,0.3560032702831694,0.7298410783893923,0.8503627042704609,0.617165372356922,0.16445110508602498,0.5826120128999629,0.8211932696519894,0.9398555850943068,0.7490347425421124,0.8007632979981707,0.3843886055888762,0.8670570031805557,0.4415392852653791
D0 polymerase II complex archaea,0.5673799511262476,0.12453290832616205,0.32521305009738943,0.39059391853729575,0.795860517360615,0.9324281098113869,0.7985042892984997,0.6445859833769895,0.37998605461517326,0.5177600297296656,0.6909422522044868,0.6497549133311968,0.4452391009333704,-0.3062130320859253,0.25871239579930366,0.11187499864377451,0.5593421406596706,0.30549696982312297,1.0,0.22576142018800532,0.4715059757799558,0.6010396211033421,0.3409151684216506,0.6019241649518385,-0.08070468478036077,0.9821235329026704,0.604049399287026,0.39157963347149216,0.33648396562490135,0.18163490579508537,0.3496450491467053,0.09410703915655941,0.029909589781834223,0.6804958173338289,-0.2501674504538711,0.3716833838143222,0.22405378431710557,0.5340577628760113,0.7439542996999192,0.4439993525327938,0.325119566149416,0.5042372444222739,0.9839093806864727,0.2673718271466264,0.45427228581849566,0.437964670352456,0.39966786887937317,0.369655835937424,0.9499077574709693,0.7269340051834771,0.609725692881609,0.4165728415743857,0.634313554911661,0.3287368600484097,0.3601987828514744,0.2978028008509236,0.4941643291249368
Debaryomycetaceae ( fs),0.18248144548046075,-0.5485758086011272,0.3833010275392829,0.2818836556743945,0.3330887620730471,0.4115508237840729,0.02024538488940078,0.6601052951627745,0.9036237239585281,0.7091464798122457,0.8415061345160384,0.4628164561516328,-0.17198770208398595,-0.27029238411875245,0.9019510719177712,0.1306957652072451,0.2564816039628416,0.431236268015964,0.22576142018800538,1.0000000000000002,0.8704887632884925,0.42262397661898854,0.3490695018370896,0.009583329720419621,-0.03135218820145876,0.04775204780511375,0.547038238602918,0.8848453690003326,0.856522098906925,0.9093274749542456,0.017376057228232097,0.37107722457824277,0.1409009504806794,0.4401672556070211,0.06872497268678508,0.3403919943868785,0.7475913325355473,0.862790646725211,-0.25476289896901816,0.9035978970412301,0.9560140637099136,0.6241825149830067,0.1723170490710495,0.6133000220413217,0.8812044555782462,0.9020226379331149,0.3870107465560622,0.9696248292632522,0.40830682377812644,0.8066820626141905,0.6783461455632416,0.5237621413109833,0.817902867820101,0.8386832526321814,0.9831469232501454,0.7254511565937788,0.7586559249296762
Eurotiales ( os),-0.01990240614380042,-0.6796672524344203,0.11589745167559613,0.010732030378259394,0.38078946154554716,0.5414993450907846,0.05617420253326026,0.5064113842419867,0.6978858279344526,0.8374758854774019,0.8255917186438277,0.5718317490998858,-0.22137811175359937,-0.6776894102662611,0.6417805614243745,-0.16839602666350534,0.21761824288842213,0.08227182007735928,0.47150597577995584,0.8704887632884925,1.0000000000000002,0.3271453092246607,0.18246949464430634,-0.008764588085301284,-0.3896875099901752,0.34331229896911186,0.4922026452922289,0.7171283775326605,0.6040673383417874,0.6213675213928458,-0.2547832971598733,0.16972009729022702,-0.19819119428744564,0.40591366302762555,-0.40286207566701443,0.08983756665992276,0.413212386620384,0.7427596015766313,-0.19422699148089867,0.7158461881972195,0.762010578785605,0.4991127688993416,0.4924964607974255,0.26629068520282867,0.876452989822927,0.7204659750375706,0.14637006546675949,0.8114128308930575,0.6955382675150787,0.8065485671214928,0.5267300306519133,0.24512788613454461,0.7055226564308631,0.5834443856479089,0.9277189904809534,0.4300757757694832,0.7349280263140889
