Eigvals	3
243.60624350283308	103.83270734828342	89.0324941044512

Proportion explained	3
0.7603134857722561	0.13812879400407257	0.10155772022367145

Species	257	3
SHSU.bins.267	-0.0009962489961422277	0.013789011123035502	-0.06817546512208898
SHSU.bins.238	0.026082954776578095	0.06305871877801585	-0.05067884976025819
UTK.bins.42	-0.041612433811695805	-0.039657269611149445	0.01741116543025111
SHSU.bins.466	0.015329750057325217	-0.002221875366639834	0.015133663598650496
SHSU.bins.220	0.03004734809412726	0.1232645988450005	-0.06288546109812174
SHSU.bins.530	0.01804591758722476	0.060781623088185056	0.012317536586991983
UTK.bins.84	-0.057074922490789104	-0.06764567018105071	-0.13180493904351687
SHSU.bins.202	-0.05924922205359792	0.031083445461955878	0.00922655214720354
SHSU.bins.18	-0.048381411562291254	0.026294219306753328	0.03318800882816021
SHSU.bins.443	0.023713133950754302	-0.03017190382902003	-0.00850580284740144
