OTU ID	25814_S1330_L003	25832_S1306_L003	25834_S1301_L003	25868_S1303_L003	43274_S1336_L003	43292_S1308_L003	43454_S1325_L003	43472_S1328_L003	45204_S1779_L003	45402_S1754_L003	45420_S1761_L003	54618_S1750_L003	54638_S1762_L003	61272_S1558_L003	61454_S1605_L003	61472_S1559_L003	61634_S1532_L003	61654_S1531_L003	64370_S2000_L003	64388_S1607_L003	64390_S1981_L003	64404_S1980_L003	64406_S2004_L003	64550_S1620_L003	64584_S2010_L003	64586_S1616_L003	64604_S1610_L003	64750_S1991_L003	64764_S1989_L003	64766_S2007_L003	64784_S2008_L003	64786_S1982_L003	64800_S1993_L003
CMU_active.final.59	0.0	0.0	0.0021232946454884495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.5	0.005275695017510195	0.0032407305022182174	0.0026794895621837056	0.0024533791859506294	0.00041404005967913437	0.0013484215708450802	0.000282036679623481	0.0002961369660269577	0.0004752811189827278	0.000493442325686229	0.00017658542379033436	0.00022769612855392244	0.000292690047267542	0.002192458248180123	0.001023862179401736	0.00033909665828969266	0.00046640934024230654	0.00018603173193757578	0.0005764944592827727	0.0007814901974520748	0.0003450503516964772	0.0004813098424860504	0.0004181142165586905	0.0008272547425515431	0.0006992867835050078	0.00041389136495085144	0.0005132424715271975	0.0038581100113996816	0.004562895295905827	0.0013700520671612218	0.0016535820405888248	0.0024065365600563406	0.001879288908151767
UTK.bins.126	0.0	0.0	0.0	0.0	0.0	0.0	9.101733987849185e-05	1.7255282107066325e-05	0.0	0.0	0.0	0.0	0.0	0.0013413748742025105	0.0	0.0	0.00015973239515276744	0.0001951143169144509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.88	0.000742698059454558	0.0008600029475140202	0.0006651895395634173	0.0008582162299903217	0.0001531912506826626	0.00014555510082527943	4.174053994427638e-05	7.913258756104478e-05	0.00025400558014498285	4.068691210057142e-05	1.258306599463015e-05	0.0	4.0223108373002505e-05	8.787906796415121e-05	3.7791189239709296e-05	0.00014497943354422528	0.00010987967481849092	0.0	0.0	7.334401537572495e-05	9.834984342959421e-05	0.00010894348414358785	0.00016088676791538517	8.322102824470208e-05	0.0001312583337646173	0.00012019765982142177	0.00014628992338129154	0.0	0.0006124749568340067	0.00019671055528504465	9.544268234273608e-05	0.0001679300311688585	0.0001390642024020337
CMU.bins.264	0.0003971723234497912	0.0006898551178981422	0.0008003770679271127	0.0002950380184393605	9.830642193467205e-05	4.120856738930646e-05	0.0	5.078123560039667e-05	0.0	6.527432590965523e-05	8.74775021546601e-05	0.0002635543762003352	0.0	0.0004229554864601376	0.0001591503967981805	0.00031012234758137506	0.000176281001902729	0.00017944047832584565	6.590442534523634e-05	0.00011766638955969868	0.0	4.369476567267296e-05	0.0	0.0004672928901438584	0.00033341655875960576	0.0004579808912172622	0.00017602065593921347	0.0006709026758764657	0.0	0.0002524676639486025	0.0	0.00042336102815731874	0.0
SHSU.bins.260	0.0	0.00011903479273530661	0.00018414052863452435	0.00013575715688996312	1.69628334318043e-05	1.896148162101566e-05	2.3109555969148742e-05	0.00021467696912587665	2.8125922123349327e-05	2.2526238411901977e-05	4.644395521622489e-06	0.0	0.0	4.8654096945821846e-05	0.0	0.0	9.125204722052377e-05	2.477002357293258e-05	2.2743660393638007e-05	2.030340533576685e-05	4.08384348146364e-05	0.0	1.6195381803420548e-05	2.3037578514091395e-05	1.816773775282706e-05	8.31839929558131e-06	0.0	0.0	0.0001695479395742471	0.00010890835338957565	3.522778786470128e-05	0.0	7.699265901229677e-05
SHSU.bins.403	0.0059480905540548745	0.006325309613966355	0.004566296958054766	0.0031260257191844188	0.002403669469272741	0.0018892153596807534	0.0013098698982513235	0.0021728697838577847	0.001743658269641711	0.0020349092048637385	0.0001521904415556061	0.0002685045572559118	0.0005719572337431889	0.0024992161108872584	0.00042619546142571446	0.0010070807246194986	0.0008081634796393771	0.001009114502952365	0.0011682739174859811	0.002121813921573455	0.0018566281096314037	0.001014950831765992	0.000946654605413777	0.0021423107548143817	0.0024027795027994816	0.0015765578664939269	0.0021339857658292188	0.004511120782585802	0.005505796960376164	0.0019676514528373617	0.0014039579344615515	0.0024231915611640483	0.0022501928479154187
SHSU.bins.459	0.0	0.0004118947748620619	0.0	0.0	0.0	4.920913518296392e-05	0.0	0.00016676080271305665	9.732382388711351e-05	0.0	0.0	0.0	3.852931827307566e-05	8.417858320770181e-05	2.7149871453793456e-05	2.3145750565830285e-05	3.508426431041531e-05	0.0	0.0	0.0	9.420843496953555e-05	0.0	0.0	1.9929169579653954e-05	2.0955197408045343e-05	2.878406756250759e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.67	0.0012404588984518846	0.0017954777904219906	0.0008332523748246809	0.0014333979839188725	0.00046054999166997713	0.0006578190296988275	0.0003137183995811859	0.00030398563380137775	0.0004242415169442061	0.0007928143681308936	0.0003292553251933215	0.0011889788535378507	0.0016459294971032565	0.0011742088400305969	0.00021302669571428634	0.0004641120713458695	0.00045880404714020634	0.00048570830614775207	0.0006175028263863928	0.0006124979196274105	0.00041066109729977755	0.0009552793240191384	0.0007084274788862336	0.0006776065857079219	0.0011144112621581364	0.0011292451043732662	0.0009467951130020344	0.0013969205662013296	0.000340986659478303	0.0010513502748001852	0.0009033161221727975	0.0011219111746171907	0.0005806644688054045
SHSU.bins.556	0.0	0.0	0.0002315775485872855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTK.bins.192	0.011273088259579882	0.008250860496449984	0.009620361018447947	0.007794830143953187	0.1845438185426035	0.08053089811997227	0.021863815970811804	0.03285623668323624	0.011522663460215177	0.005515390986950551	0.0010594690627558465	0.002383742008309146	0.0024536324447545	0.045200806239903614	0.03343204632740741	0.04891786119586562	0.020674615432906863	0.012223492697960614	0.03776469733271718	0.06364465564848464	0.2987449489146782	0.059482967722376295	0.07341160817467622	0.21264822551482365	0.13027081988676317	0.12443098946293495	0.14610054342869636	0.06598994729919869	0.07074685234037345	0.06095500253896953	0.03886837595406315	0.05229783547827675	0.036560529776702266
SHSU.bins.217	0.0	0.0	0.0	0.0	0.0	6.043937910436744e-05	0.0	4.6549558800337285e-05	0.0	0.0	0.0	6.44244977378799e-05	4.732222979182227e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7854062487545403e-05	0.0	3.4414951832242554e-05	1.2238643741862527e-05	2.5737456816526238e-05	1.7676481503120194e-05	0.0	0.0	0.0	9.257151778115327e-05	3.742925391873847e-05	2.8224131877158793e-05	0.0
