OTU ID	25293_S2193_L003	25295_S2243_L003	25311_S2283_L003	25329_S2222_L003	25330_S1251_L003	25344_S1331_L003	25347_S2253_L003	25365_S2274_L003	25367_S2074_L003	25381_S2133_L003	25382_S1261_L003	25402_S1292_L003	25455_S2155_L003	25474_S1278_L003	25488_S1244_L003	25491_S2210_L003	25510_S1265_L003	25525_S2188_L003	25545_S2117_L003	25546_S1245_L003	25560_S1249_L003	25563_S2204_L003	25581_S2157_L003	25583_S2130_L003	25596_S1296_L003	25599_S2229_L003	25617_S2259_L003	25619_S2124_L003	25633_S2187_L003	25653_S2110_L003	25779_S2096_L003	25797_S2119_L003	45110_S1707_L003	45129_S2271_L003	45541_S2088_L003	45560_S1511_L003	45562_S1579_L003	45757_S2224_L003	45759_S2033_L003	45777_S2209_L003	45779_S2031_L003	45793_S2053_L003	45795_S2178_L003	45831_S2251_L003	45851_S2226_L003	45887_S2093_L003	60519_S2087_L003	60552_S1729_L003	60554_S1727_L003	60574_S1713_L003	64226_S1866_L003	64244_S1796_L003	64246_S1860_L003	64262_S1859_L003	64280_S1855_L003	64296_S1864_L003
SHSU.bins.260	9.707465316402593e-07	0.0	1.0319239657207974e-05	0.0	0.0	0.0	5.673522115190087e-06	0.0	1.273259813627743e-05	1.1910011944620135e-06	0.0	0.0	1.677771816941439e-05	0.0	0.0	4.390459330317012e-05	0.0	5.903339758111348e-06	5.00348521783868e-06	0.0	4.176685078168013e-05	0.0	0.0	0.0	0.0	1.683930202303333e-06	3.2902521025296334e-06	0.0	1.8578292653476177e-05	2.9606712732906593e-05	0.0	6.701190260172653e-06	0.0	0.0	0.0	0.0	0.0	0.0	3.102156774222088e-05	0.0	1.4690779136484415e-06	0.0	7.898950571399047e-07	0.0	0.0	2.463063377206214e-05	0.0	1.562135902063163e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13804731847414e-05
SHSU.bins.403	0.0	0.0	0.0	0.0	0.0	0.0	5.024688802016758e-06	0.0	0.0003721237832089218	0.0	7.573340275424969e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.856624380062934e-06	0.0	0.0	0.0	0.0	0.0	8.2977406117714e-05	0.0	4.140835924747925e-05	0.0005801195839956029	7.943209538856178e-05	0.0	0.0	1.4292288029569415e-05	0.000153526562327414	0.00015190900918451612	1.539035128235924e-05	0.0	0.0	0.0	0.0006204437036283408	0.0	0.0	5.4308332814915236e-06	0.0	4.11446217561158e-05	0.0	9.059917940428542e-06	1.5844043649551875e-05	2.015797409850558e-05
SHSU.bins.459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4727227189707845e-05	4.438479761417301e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5312477864429445e-05	0.0	5.692608801218609e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.758753549564788e-05	0.0	0.0	6.9801945376636136e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.769905483717959e-05	0.0	0.0
CMU.bins.67	0.0022988551696535345	0.0	0.0011206926799765204	0.002448029380453948	0.0004297290682125111	0.0006841628626532714	0.01128765122917431	0.002646660914757556	0.0030920676759410666	0.00020120384663912245	0.0032762011191479	0.0013766705631972204	0.0010122768292177638	0.001250008508181264	0.0026381055268482807	0.0007946888434803336	0.0017965654509605234	0.0016651192010102933	0.0009237626155943796	0.0018178102059135744	0.0008819939053360071	0.001390380957181133	0.0009980741406126772	0.002599768018579532	0.001468459386998848	0.05093670111941302	0.12025103989001794	0.06644268228425473	0.05873583658139365	0.05614960301087332	0.007183254163627838	0.003578173071000357	0.0016393332257362728	0.0031161542318303174	0.0016664589489816576	0.0012974046642070705	0.0009334575858080266	0.005691526497110032	0.002677158350353496	0.012237808312813753	0.008571120246500589	0.004236574119479195	0.0031954670738815684	0.007965610566255749	0.00582504625208546	0.025263318894641718	0.022675037477954456	0.01321080840020315	0.0006587583091873366	0.015946063890308636	0.008853358303125607	0.0007007498788149298	0.0	0.0029626126075221514	6.167900020727661e-05	0.020908055176591268
SHSU.bins.556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.751835781288896e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3837147726074284e-06	0.0	0.0	1.113037990145607e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.912104159799081e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTK.bins.192	0.00034446952542155476	0.0005981237394555225	0.0003843273617206683	0.000393288930466634	0.00021286808425393492	0.00023462498661617264	0.00010858633620463922	0.00020375573573893233	0.00015148358351863735	6.160740040449608e-05	0.0002609776694911577	0.0002193929578808864	0.0002430032990026704	0.00023689896469513124	0.00029825435609163076	0.00022710695811345961	0.0003353506221799831	0.0002819530771039785	0.0002577822197026328	0.0002249362236096828	0.00015123423662124287	0.0003836781881840547	0.00031116078383757584	0.00022427713572238135	6.180416445281064e-05	0.00039545826750940716	0.0002762852078444998	0.000173384953770023	0.00020501468410570234	0.0003879744509785692	0.00028739729054290473	0.00014142713328132994	0.0005137241540529216	0.0005405760446988567	0.00021945964011206272	0.00037305503970812027	0.00019485406868772757	0.0003815620535506646	0.00029342451647919034	0.00039234104590923474	0.005026087130945359	0.0003992645452903764	0.00044291421568331895	0.000460769557556673	0.0002896556817128844	0.00020385257949541804	0.00046807649729508195	0.00032322078319069447	3.782252208259758e-05	0.00019031883482049458	0.0004547534642049905	0.0007569863771147879	0.0004314378202974813	0.0004815373499840585	0.00017979226141374505	0.00030611473186746194
SHSU.bins.217	0.0	0.0	0.00021928247521544984	0.0	3.3633534512093815e-05	0.0	0.00013261775269255148	0.0021306428508741765	1.3528302207287335e-05	2.7839481220492696e-05	9.085672330425007e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.181506253660622e-06	6.379409702749624e-06	0.0	0.0	6.23813130788739e-06	0.00017043503401156934	6.841641259403965e-06	2.3508761791862826e-05	7.156658859783819e-06	1.1652920113144491e-06	0.0	0.0	0.0001258277376149938	0.0	4.5567828169242994e-05	0.0	0.0	0.0	0.0	1.905881189353877e-05	0.0	0.0	8.573168818045507e-06	6.243542608000274e-06	0.0	1.6785173489208666e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2585040505709925e-05	0.0
SHSU.bins.50	0.0	0.0	5.730437620273899e-05	0.0	0.0	2.2489258800095572e-05	0.0	0.0	1.1784345051653809e-05	4.4092087603388925e-06	1.582884657565875e-05	0.0	0.0	1.0092108643962924e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6226418884353095e-06	0.0	3.973119569916561e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6742254986351e-05	0.0007304843575916577	0.0003413522357997397	2.871125361246994e-05	0.0	6.526414949138484e-05	0.0	0.0	0.0	0.0	0.0	0.0005673386618769877	0.0049446222726488576	9.69375385228199e-05	0.00013621023197915472	0.0	0.00017199074480037582	0.0	1.8935906965566083e-05	0.0	0.0
CMU.bins.107	0.004594425339064639	0.08056598184478905	0.03759719403788378	0.003852738024950986	0.03410666147709614	0.031500860517871716	0.00204121884144307	0.02377093233624868	0.02132390990297984	0.006466698141783553	0.005719831208017107	0.02368901824970549	0.0005101088139390318	0.0013951889742883903	0.001704359963399959	0.00014831925345982997	0.001432483381164044	0.0017724121075189494	0.008278173705928569	0.0065318679432704845	0.4090588097170392	0.0035057012920366704	0.037391157267815806	0.0031134144629781776	0.16616696852882412	0.030275120637180332	0.0023633662116943318	0.006794056188487211	0.01263073340468027	0.014702626384373361	0.1203182760408068	0.15537408966028726	0.0008783216930550241	0.01901103348331049	0.009887209103998372	0.003956274090853915	0.00046584543295529683	0.000898523733201232	0.003003572468685435	0.000383323007152522	0.0009193703337043033	0.0005975560681192822	0.0033322084941600555	0.0028372399386504803	0.11164198232899307	0.013229996563245685	0.0027364321749582	0.0010950249818379677	9.012576304823939e-05	0.0009322014166681676	0.03894723893434597	0.011035108666386595	0.07648012423417479	0.03281329640605298	0.0006248657439329502	0.017444726816048396
SHSU.bins.157	0.0	0.0	0.0	0.0	0.0	0.0	1.556443031600618e-05	0.0	0.0	0.0	0.0	6.627776748559282e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9209627143130175e-05	0.00015566163000564712	0.00013677245768136005	0.0	1.6120768344448176e-05	0.0	0.0	0.00013963865713732473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
