OTU ID	43741_S2050_L003	43743_S2060_L003	43760_S1400_L003	43777_S2152_L003	43778_S1426_L003	43796_S1403_L003	43798_S1402_L003	43813_S2027_L003	43832_S1421_L003	43920_S1386_L003	43923_S2252_L003	43941_S2089_L003	43942_S1432_L003	43956_S1429_L003	43958_S1405_L003	43976_S1434_L003	43978_S1428_L003	43992_S1415_L003	43995_S2056_L003	44103_S2045_L003	44121_S2207_L003	44122_S1410_L003	44136_S1411_L003	44138_S1379_L003	44157_S2105_L003	44159_S2113_L003	44172_S1413_L003	44175_S2028_L003	44193_S1997_L006	54887_S2265_L003	54900_S1470_L003	54923_S2055_L006	54939_S2245_L003	54959_S2281_L003	54973_S2092_L003	54975_S2147_L003	55067_S2079_L003	55081_S2037_L003	55082_S1569_L003	55101_S2018_L003	55102_S1506_L003	55116_S1480_L003	55119_S2071_L006	55136_S1468_L003	55139_S2149_L003	55152_S1471_L003	55154_S1499_L003	55173_S2230_L003	55247_S2156_L003	55261_S2103_L003	55263_S2051_L003	55281_S2047_L003	55316_S1580_L003	55352_S1573_L003	55355_S2015_L003	60825_S2044_L003	60826_S1877_L003	60842_S1832_L003	60860_S1831_L003	60862_S1827_L003	60984_S1815_L003	61004_S1818_L003	61020_S1873_L003	61022_S1876_L003	61040_S1874_L003	61092_S1871_L003	61202_S1878_L003	61220_S1851_L003	61222_S1824_L003	61237_S2054_L003	61239_S2048_L003	61256_S1834_L003	65090_S1706_L003	65109_S2188_L006
SHSU_advanced.final.227	2.6242249539674572e-05	3.1323953801177814e-05	7.301378209915675e-05	7.260789859954124e-05	5.357455100711584e-05	0.0	8.132919760955011e-05	9.371564102519779e-05	0.0	0.0004078310167337166	0.00013257977254782472	8.286804695838184e-05	0.003163714045731267	0.0021773474815772664	0.0009973970147331718	8.240927377961339e-05	0.00034967020047238983	6.26491472361968e-05	0.00016212988336711343	9.370778644855463e-06	1.68112275236191e-05	3.4936477442712944e-06	1.0189041787540588e-05	0.0007824962303187106	3.4496794369606474e-05	0.0001511098470501091	1.900166385187422e-05	8.86743477929421e-05	5.941383539326721e-06	0.0028292629599992077	0.012786794539997	0.0004985453068345016	0.003352565438938982	0.005012126021718695	0.0021552334227545817	0.002319973645350645	0.0012364862838582522	0.0017490317064158911	0.08879003907754333	0.002020048481153604	0.0061380187359717795	0.0011140470470342688	0.005004572752596844	0.008988442943861976	0.001947455820047803	0.007251659637979064	0.06854264494435852	0.01746243551735697	0.0009642371476154083	0.00027558345070959934	0.000243831796648847	3.047345019905856e-05	0.00026837029025107413	9.386822411347266e-05	0.00035570793698246604	0.0	0.0	4.9990834437311295e-05	0.0	0.0	0.0013578052569766584	0.0001581367204698651	6.006172341514898e-05	0.0	0.00016265098828875004	0.00012614431740291885	0.0	0.0	0.0	2.873387078974585e-06	0.0	5.981629682605279e-06	0.0	0.0
CMU_early.final.5	8.26213733634228e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.4752772309799221e-05	0.0	2.8220223077491383e-06	7.01538608909412e-07	0.0	0.0	1.294651091745776e-06	0.0	0.0	0.0	0.0	0.0	8.741647268699007e-07	0.0	0.0	0.0	0.0	1.2067785980886372e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6460869885879164e-07	5.057760721916441e-06	0.0	0.0	2.6446772071344735e-07	0.0	0.0	0.0	0.0	0.0	1.3983977264664198e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.265762311132703e-05	0.0	0.0	0.0	5.438110101435248e-06	0.0	0.0	2.4951375097336454e-06	0.0	1.991516328108224e-05	0.0	5.260279682994505e-05	0.0	0.0	0.0	0.0	5.100536600054875e-06	1.8093197275379814e-06	0.0	0.0	2.0099808291737397e-05	9.901675729161408e-05
SHSU_advanced.final.252	0.001891308790254718	0.00185745693592898	0.0007705341566202678	0.0030242272003815425	0.043086620809959536	0.032595681905127676	0.01364889327705597	0.02839172936971288	0.004051585938952816	0.0023809589815033177	0.001970109494869954	0.002872434841196688	0.0007588479349550779	0.0013929029683521711	0.04188132081771723	0.013220796397787664	0.034173834182270386	0.014119657998198303	0.07449837654718229	0.00012971256508400415	0.00027309145977221335	0.00011510450203840225	0.00026226284027105546	0.0008056478782570564	0.0008247948336531749	0.011722410771160959	0.003534540530483283	0.0025710558460641845	0.0005780733578822084	3.7417763245709934e-06	1.897672876957915e-05	0.0	5.191913070030189e-06	1.6539800071670758e-05	0.0	0.0	0.00010118833322964983	0.0	8.320530007903816e-05	0.0	2.422473642997645e-05	0.0002562466738199741	3.4297605101760853e-06	0.00011419444469596126	1.1306814761149654e-05	0.0	0.0	1.4838828589870657e-05	0.0	0.0	0.0002108788138590618	6.275016276494559e-05	0.013398765517686434	0.0006364141278887999	0.0014208046480040481	0.00032556882532274324	0.0	0.0	0.0	1.6319103025770224e-05	0.0	0.0	0.0	0.0	0.0	1.3671208388736453e-05	0.0	0.0	1.6679670981233348e-05	7.396007747659175e-06	0.0	1.2317221287253948e-05	0.0	0.0
SHSU_active.final.50	0.0014971404173319603	0.02106135547022338	0.08018567132308445	0.00011371109865428931	0.0024646526463315264	0.015877748979562477	0.0014920426396026712	0.0002830525835031302	0.00018025784063117488	0.014674148200190244	0.008798480850899291	0.010225502858629545	0.013274209611454561	0.0006403123475427186	0.003642102418960511	0.002088443188937575	0.000553635705749445	0.002060408950835267	0.0007419051154078855	2.8652277914103046e-05	0.00458024102530677	0.0052478494133327705	0.005945140459517147	0.0020132662207186427	0.006853510285391676	0.004262353416792468	0.0024940445743199266	0.00030155275848774675	1.1630999140549917e-05	1.2196262516810258e-05	0.00016288327235549157	4.461549013706148e-05	5.82901941543707e-06	8.985209038934976e-07	8.929390922898985e-06	1.601164024249992e-05	6.239367232361927e-05	5.444285198890716e-05	0.00014603429381209945	4.4526313176143906e-05	3.158407699095653e-05	2.651532049954768e-06	3.726418837004873e-06	8.383227812976717e-06	1.3922776362696372e-05	8.845127997906024e-06	0.0	6.448924321758633e-06	0.0	0.0	2.1820835225533607e-05	0.0	2.0125819769337885e-06	2.857276325210935e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4144750742733295e-06	0.0	0.0	1.6339076025756227e-05	3.027534485294614e-06	5.993383847133487e-06	5.436715919831666e-06	1.928574655717639e-06	2.238471931516781e-06	6.69130452630642e-06	0.0	3.518101616952252e-05
CMU.bins.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65074704339975e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.185890651862561e-07	0.0	4.623364073542529e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9761316265090748e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011055189333770071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001689701856393929	0.0
SHSU.bins.358	0.002868360375259833	0.00498718021700208	0.0048947894703333635	0.0015266856448923304	0.0016949490318623301	0.001332904614336353	0.0005136175480565232	0.00021625002851591014	0.0002601392653423896	0.0036946310575164646	0.001789571159487177	0.0037074410113116718	0.007191370331258607	0.0006592131430424714	0.00035548231089205457	0.0005022417211451683	0.002182135828514724	0.00023130181654902853	0.0006279908530421141	0.0008487410678334357	0.0005444500497996873	0.0003462255957351584	0.00032173409486776117	0.00038013018614940693	0.0006312279920796461	0.00029504329424031233	0.0002153866123264074	0.00036448184982482357	0.0003384160168013258	0.008011785054970525	5.372293367164174e-05	4.471188312871549e-05	1.5514816105748546e-05	3.901999716908262e-06	0.0	1.1588937727952998e-05	0.025287509805214686	0.02515009015786237	0.0006281426473570258	0.0036690814025019942	0.00015430483369660542	0.0003569585471121387	2.2116350000128824e-05	8.591764358075324e-05	2.8452859981121767e-05	2.511532967296126e-05	1.0754988009989974e-05	1.0502144709731959e-05	0.00011710466064071498	0.0	0.0002890216367611699	1.9738342015270248e-05	0.00018354065229813502	6.57638528818891e-05	2.0819269238095314e-05	0.0001536136719480714	1.678172207864486e-05	1.6190103323411207e-05	0.0	3.4649430301203564e-05	0.004228270120404253	0.0016286153958756182	0.039948563624874395	0.000202911837771721	0.003832206252853908	0.01844524031811142	3.9442929294382534e-05	0.00010410957340071923	4.721998477786197e-05	2.65214832669639e-05	9.72099383406011e-06	6.10223945604217e-05	0.0	7.639012253943684e-05
SHSU.bins.89	0.0012165167078031641	0.000150140466322345	0.00018944275950034218	3.9073435792776686e-05	8.340329156784844e-05	0.00018253976826846115	3.751434351002205e-05	0.0	1.3596631801896714e-05	0.0007255994076887538	0.0007384786756880397	0.0012040604011042536	0.0005292007643767599	0.0003641781332898056	0.00011790612356304796	0.0002799106849059636	3.7220936663533796e-05	1.3004046050205556e-05	5.982794424250675e-06	0.000786679720185508	4.6526573146394766e-05	0.00011119325366813625	5.63982513591844e-05	0.0	6.630073341291036e-05	1.6085015685996365e-05	4.3824053577354995e-05	0.00014895291949489387	0.00014798992361707243	0.004287272824053474	3.188161133303342e-05	6.368168448625509e-05	8.14110258022037e-06	1.3893736060204755e-05	2.761484585413792e-05	0.0	0.006054332889883878	0.003535746428051564	1.2903511686051186e-05	0.0014871724388839022	2.0349220081333848e-05	1.6400154164526785e-05	0.0	0.00015555479364064834	0.0	0.0	0.0	0.0	0.0017512793591299989	0.005641755905086113	0.0004656308181185335	0.0034859738091338735	0.0005311208919626946	0.0012105812530498255	0.00131260545196372	0.0013127232021036106	0.13551657255982846	0.11240131695828362	0.08905017473642228	0.1139000241389681	0.010358182620342533	0.0048580040928260316	0.0026115027832476377	0.000520201628650569	0.0	0.007225781733783533	0.0	3.707004633223802e-05	1.1208993659403796e-05	1.888685246291866e-05	1.3845309339388061e-05	7.449623759294116e-05	4.4171551245904034e-05	0.0013056016434021154
CMU.bins.235	0.0	4.901635647585653e-07	1.231794366707162e-06	9.898568800849462e-08	1.8076807339815055e-06	0.0	0.0	9.48629812826047e-06	0.0	0.0	5.262861716347373e-07	8.876464745351597e-07	0.0	0.0	0.0	0.0	0.0	0.0	2.334078048474133e-06	4.68419882247285e-08	0.0	0.0	4.125513318872888e-06	0.0	5.173206205769445e-07	3.922046623435767e-07	0.0	1.7951992528698912e-06	0.0	4.904988396989148e-07	1.243803547071873e-06	0.0	6.805931785062094e-07	0.0	0.0	1.6098556232959682e-06	3.4011511807970387e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.940597380419995e-07	1.231357878134734e-06	0.0	0.0	0.0	0.0	2.632713923954032e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.791711094095541e-05	1.0696139327764186e-06	0.0	8.53721240577803e-06	8.53291913828818e-07	0.0	4.3904604440138795e-05	8.960603498280697e-07	0.0	0.0	0.0	1.1634259749148118e-06	1.3503737380356337e-06	2.42194436659073e-06	8.616365267703733e-06	0.0
CMU.bins.181	0.0	1.1306342957798776e-07	0.0	0.0	0.0	0.0	0.0	8.75261496365792e-06	0.0	0.0	2.081066555156853e-07	1.6379894375410232e-07	0.0	1.536197734233931e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2688141980703288e-06	0.0	0.0	2.1712264576144028e-06	3.1549674735148706e-06	3.0673308777461403e-07	0.0	0.0	3.44281698388874e-06	0.0	7.326139522137554e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.239167865752023e-06	7.324877548987288e-07	0.0	1.3827511250513934e-07	0.0	0.0	0.0	0.0	0.0	1.5009221363812897e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.872971743604796e-07	0.0	0.0	8.267579373036888e-07	0.0	0.0	1.0086930593394958e-06	0.0	2.491867001124475e-06	2.2346282078452594e-06	0.0	0.0
CMU.bins.252	0.0	2.4925676088666e-06	6.263890022182583e-06	1.0067186339539596e-06	0.0	0.0	1.8606063740872638e-05	0.0	0.0	0.0	1.1469675894840813e-06	9.027674758048614e-07	0.0	0.0	0.0	2.0567099951835306e-05	0.0	0.0	0.0	0.0	7.691970166932948e-06	0.0	0.0	0.0	0.0	3.988860522131459e-06	0.0	0.0	0.0	0.0	0.0	0.0	3.4609351466625437e-06	0.0	0.0	0.0	0.0	2.087655743182652e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.798649943931745e-06	0.0	0.00016544481503314308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3413218893102326e-05	0.0	0.0	0.0	9.113251591946496e-06	0.0	0.0	0.0	0.0	0.0	2.052669547919853e-05	0.0	0.0
