OTU ID	43654_S1316_L003	43849_S2090_L003	44048_S1317_L003	54815_S2153_L003	55009_S2121_L003	55209_S2162_L003	60699_S2212_L003	60878_S1804_L003	60898_S1837_L003	61057_S2062_L003	61076_S1820_L003	61114_S1810_L003	63650_S1634_L003	63670_S1670_L003	64945_S2242_L003	64947_S2196_L003	64964_S1632_L003	65127_S2213_L003	65144_S1636_L003	65147_S2269_L003	65161_S2114_L003	65180_S1705_L003
SHSU.bins.399	0.024537467321553298	0.0031945490145830185	0.014264202746050069	0.048062740475316466	0.03138828896283413	0.012542304762377872	0.061056087995528634	0.022195962889307676	0.16524304369943474	0.01766383510091423	0.04105913973330694	0.026160607106026634	0.004077347340994683	0.003970034592509256	0.09449360518654855	0.01605629729087843	0.04952222261472852	0.04578126578550887	0.014177000805872576	0.04033104284890321	0.010672632554220428	0.04226811532825626
CMU.bins.70	0.0	9.424521157966157e-07	0.0	3.1820020314684093e-06	0.0	0.0	0.0	0.0	0.0	2.558834880029946e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.934692222361097e-06	0.0	0.0	0.0	6.349541551516828e-05
CMU.bins.144	0.0	1.4567807698439222e-06	3.415506720854607e-05	7.377788072962635e-06	9.246329399893806e-06	1.8329280498325918e-05	1.6411916461196783e-05	5.081496258906894e-05	0.0	3.955275350838456e-06	0.0	2.528046686695344e-05	0.0	0.0	0.0	2.9938620354754705e-05	3.194730778457813e-05	9.53465449747098e-06	5.978362004915194e-05	1.7768103171207315e-05	1.637390498706455e-05	0.0
SHSU_active.final.30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.421023710968893e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.307	0.0	2.66371246201061e-06	0.0	6.7451180667058445e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.611469871904686e-05	0.0	0.0	0.0	0.0	1.7434034252638532e-06	0.0	0.0	0.0	0.0
CMU.bins.248	0.0	7.660999815527972e-07	0.0	0.0	1.2966709158433347e-05	0.0	0.0	0.0	0.0	0.0010316915306731117	0.000835421315613997	0.0014624111972359236	0.00014831003422787956	0.0	0.0	0.0	0.0038977456316574184	0.0	0.0	0.0	0.0	0.0
CMU_advanced.final.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032278940702202717	0.0	0.00024272176593070744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.162	1.9039668681105846e-05	6.690428402243675e-05	0.0018485295783134325	4.563409345129836e-06	0.0	0.0	0.0	0.0	0.0	0.00022568699295900943	0.00014037154934453406	0.0002580076100828135	0.0	4.591007066205691e-05	0.0	0.0	0.0	0.0	0.0	4.12131257581143e-06	1.8989651103254424e-06	0.0
CMU.bins.249	0.0	2.2725541969586456e-06	0.0	1.0230432601173862e-05	0.0	0.0	0.0	0.00010569417042543967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.932749749908904e-06	0.0	2.3098294622594162e-05	4.257174816619509e-06	0.0
CMU.bins.62	0.0	1.0152748092902723e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.657997581136527e-06	0.0	0.0	0.0	0.0
SHSU.bins.123	3.582601868986061e-05	0.0001826895236776045	3.975186793180389e-05	0.0	0.0	0.0	0.0	0.0	4.9847422082751216e-05	0.0008861555545592766	0.012414126826408424	0.0002942304799220606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU_advanced.final.206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002891554967330405	0.0001114175723380669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.246	0.0	7.650573716459492e-07	0.0	0.0	0.0	0.0	0.0	0.0	4.498527556238252e-05	8.308766636319522e-06	0.0	0.0	3.7027012545316114e-05	0.0	9.571706943496808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.380	0.0	1.0928069023631675e-06	0.0	4.058608240137606e-05	0.0	0.0	0.0	0.0	0.0023132485718072816	0.00017505643126877567	0.0	0.00018964203151261672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTK.bins.52	0.0	1.2642724870435747e-06	0.0	4.268562342213947e-05	0.0	6.362852908696801e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31691113488701e-05	0.0	2.3130167619313615e-05	6.394572128688621e-05	0.0
SHSU_advanced.final.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5340293841011603e-05	0.0	0.0002159526586593934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.340	0.0002101407327023382	3.0068307313547085e-05	0.00026231430016086186	0.00019674356194569544	0.00025051702374091913	0.00010557796567075025	0.000204823393275648	0.0005203519036308276	0.00021928848836806782	0.00015188452507187636	0.00010893391725173088	0.00015370721175161288	5.076412571564952e-05	2.6391104632144327e-05	0.0002916185292119759	7.664381774783438e-05	0.00014312561975431994	0.0001842880309587679	0.00011478602581476779	0.00015067540449164357	0.00013623265813313175	6.28148253488654e-05
