OTU ID	25655_S2125_L003	25669_S2120_L003	25688_S1294_L003	45131_S2199_L003	45147_S2288_L003	45469_S2277_L003	45504_S1450_L003	45632_S1567_L003	45648_S1582_L003	45651_S2067_L003	45668_S1524_L003	45670_S1520_L003	45704_S1583_L003	45903_S2034_L003	45937_S2244_L003	45956_S1458_L003	45959_S2286_L003	60588_S1717_L003	60590_S1714_L003	60608_S1735_L003	60624_S1716_L003	60626_S1736_L003	60644_S1715_L003	60646_S1719_L003	60660_S1720_L003	60662_S1734_L003	60680_S1730_L003	64298_S1858_L003	64316_S1867_L003	64319_S2161_L003	64332_S1861_L003	64334_S1862_L003	64352_S1856_L003	64354_S1870_L003
SHSU_advanced.final.35	0.0003233135230357328	0.006961981848625383	0.005992626967887384	0.0	0.0	0.0004267219045274904	0.00017539077412943694	0.0010255692042118365	0.003361731205892342	0.002473794661393157	0.0004744693681641672	4.546640809322342e-05	3.826332646221876e-05	0.0001493689474921556	0.0	0.0001524405003385201	0.00024879634760710957	0.006326361566116084	0.009201119816116972	0.007144603137285072	0.005558171686114262	0.0017569171451269476	0.0015314098067610333	0.008997175340259626	0.0005599763848175477	0.0014074468091934069	0.007544796730237301	0.0019381171790998724	0.0	0.0002552011654547718	0.010201812226764861	8.716480513318856e-05	0.00028356970492642985	0.00303940550299597
SHSU.bins.354	0.0	0.0	4.4994771021419666e-05	0.0	3.319513118994922e-05	0.0	0.0	0.00045782038723957586	1.124938701971759e-05	2.33192913493349e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0201972084576994e-05	1.6242279585462307e-05	4.7632142169402594e-05	7.988224931815812e-05	0.0	0.0	0.0	2.636320293346874e-05	0.0006439920769741921	5.874725814842862e-05	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.205	0.0	0.0	0.0	0.0	3.206674801353023e-06	0.0	1.1092990098811472e-05	2.94838362462097e-05	0.0	3.4240414386258785e-06	0.0	7.189070912159864e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.105598171801919e-05	1.3845428984749308e-05	0.0	0.0	1.951688330217774e-05	0.0	0.0	5.9051643262193445e-06	0.0	0.0	0.0	0.0
UTK.bins.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1894986611381505e-06	3.971989257982318e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.561	0.0005365577782291514	0.00035278798138641963	0.00017110310191151658	0.000427071657920161	0.0007291321139973999	0.0005550031798761397	0.0010167499740858204	0.0016110452495283738	1.7512700030695735e-05	9.910652848458756e-05	0.0009917756424824558	0.0007603016522261739	0.000895788557176465	0.0008742243379613768	0.000424922062488711	0.0008638789152582065	0.0014792668668587334	0.0013778519539746278	0.0007522218214603764	0.0005531200880462087	0.0005028450539925524	0.0005894062474003059	0.0008536212880277803	0.0004758856451044954	0.0009364068070554309	4.143603660631701e-05	0.00033541078800745433	0.001640491089804575	0.0010393005403377912	0.0006869698146835676	0.0017691577526166478	0.0018462858732823347	0.0016596760044173147	0.0013830132463356966
CMU_early.final.2	0.06541946966106524	0.03576180503101103	0.00241177429076146	0.10136458550635445	0.08017884853569837	0.15763204428441968	0.12884467630280083	0.09705659093491442	0.0009554828016747416	0.007851763164450486	0.09388413348777014	0.10641647830481452	0.08604535204435002	0.18802372978252097	0.17595625618511251	0.10397619387244139	0.15274651625206506	0.02231554711334669	0.026279087762666405	0.032675491201317367	0.02395605204405605	0.02582228831450368	0.034573782894995984	0.11260792174274262	0.04654561043871777	0.0022248800660579116	0.015130445459013948	0.09160908592517601	0.0744902000584862	0.01912522040879011	0.015094033595736496	0.08390515606311755	0.0011028004358286216	0.09614416846221298
SHSU.bins.72	3.72856956565648e-06	1.2352015247536213e-05	0.0	5.5539283729523686e-05	3.087202782673967e-05	0.0	1.7799510344831757e-05	0.0	0.0	2.0241513775291493e-06	0.0	6.344456987508185e-05	4.853933551211129e-05	0.0	2.0358857244520284e-05	1.2892002720043267e-05	0.0	0.0	0.0	1.0070394603015482e-05	0.0	8.254647862837822e-06	0.0	1.1107983185479364e-05	2.3678792592350204e-05	0.0	3.1316254880293564e-05	0.0	2.7826575757450347e-05	0.0	0.0	0.0	0.0	6.294965935087503e-05
SHSU.bins.52	1.3709147976761712e-06	1.816628095191315e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5516688759176568e-06	0.0	0.0	5.710997471968027e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1716908694219758e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.412	0.000114831878181645	0.00020832265357837985	7.5007342372966e-05	6.787652566944131e-05	7.16867212079823e-05	0.00023816507136437264	0.00019578070879678594	0.0001040723202796453	2.191908603841912e-06	4.9405069214653586e-05	0.0001324071090221349	0.00020300829399645052	0.00018508363288738942	8.336673650662061e-05	2.9857537958916592e-05	9.45346426127553e-05	0.00016971775472457044	4.676703862040454e-05	7.988394103957056e-05	2.2153316526387077e-05	5.413904428004093e-05	2.4211926731432895e-05	0.00011148540321227814	0.00011403400163817175	5.2089643704327955e-05	6.453917690826838e-06	4.592724835788042e-05	0.0001602542603919856	0.00014283305928689083	5.5584271188080444e-05	0.000126531231611114	0.0003567598482217667	0.00023740226924012534	0.00016155951700427785
UTK.bins.77	0.0	0.0	0.0	0.0	1.1555733806700849e-05	0.0	0.0	0.00010624942007630418	0.0009420977016512806	0.0011377908122119928	0.0005407077776802421	0.00011658096100837887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.707762740045024e-05	0.0	0.0	0.0	5.930035210737971e-05	0.0003868260661691113	0.0	0.0	0.0	0.0007750689792413274	0.0	0.0	0.0
