CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1148	1274	11	0.8618	-44.026
715	8153	12	0.7273	-197.178
1576	8153	12	0.8333	-177.210
715	1576	12	0.8589	-19.968
2583	2586	14	0.9745	-220.129
2487	6135	14	0.979	-308.183
2641	6124	14	0.9722	-132.078
3419	4477	14	0.9472	-72.986
2573	2641	14	0.9426	-44.026
2641	3384	14	0.9861	-132.078
2490	2651	14	0.9454	-132.078
54	2869	14	0.9489	-148.073
2533	3388	14	0.9643	-220.130
2515	3400	14	0.9821	28.030
2480	2487	14	0.9657	88.051
52	54	14	0.996	88.053
3384	6111	14	0.9622	132.079
2521	2609	14	0.976	132.078
6110	6114	14	0.9898	-44.026
2648	3386	14	0.9544	352.208
3400	3404	14	0.9807	-44.026
3400	4477	14	0.9522	-28.959
2533	2543	14	0.9782	-132.078
3384	6114	14	0.9506	44.027
2515	2637	14	0.9814	-132.078
2467	2490	14	0.9793	44.026
2641	6153	14	0.9635	-176.105
2438	3386	14	0.9734	132.077
2467	2651	14	0.9753	-88.052
2548	2651	14	0.9912	-44.026
51	52	14	0.9881	-44.027
52	2869	14	0.9543	-60.019
2587	6124	14	0.9622	-220.130
2480	2586	14	0.98	-88.052
2587	6111	14	0.9556	-88.052
2634	2641	14	0.9953	44.025
54	57	14	0.9653	-132.078
2573	6124	14	0.9782	-176.104
2583	2609	14	0.9789	84.094
2586	2648	14	0.9865	-88.053
2515	2521	14	0.9918	-44.026
2609	3394	14	0.9532	44.026
2587	2641	14	0.99	-88.052
2543	2548	14	0.9901	-28.031
2480	2521	14	0.9534	84.093
2583	2611	14	0.9669	-264.156
2490	3389	14	0.956	-176.105
2438	2586	14	0.9854	-132.078
6114	6153	14	0.9935	-88.053
2490	2531	14	0.9858	44.026
2490	2515	14	0.97	28.031
2467	3404	14	0.952	56.061
2611	6135	14	0.9889	-88.053
2637	2651	14	0.9837	-28.031
2539	2586	14	0.9849	-44.027
3404	3419	14	0.957	88.053
2539	3386	14	0.9562	220.128
2521	3388	14	0.9795	-132.079
3386	6135	14	0.9617	-396.234
2543	3388	14	0.9868	-88.052
2438	2480	14	0.969	-44.025
6124	6153	14	0.9838	-44.027
2586	2651	14	0.9812	56.062
2573	6153	14	0.9895	-220.131
2546	2651	14	0.9433	-220.131
2609	3388	14	0.9539	-264.156
2573	2634	14	0.9534	-88.051
6110	6153	14	0.9903	-132.079
2634	2869	14	0.9705	-44.026
3400	3419	14	0.9416	44.026
2573	6110	14	0.9845	-88.052
2438	2515	14	0.9798	84.094
2521	2533	14	0.9842	88.052
2611	3388	14	0.9776	84.093
2611	2648	14	0.9915	-44.027
2587	2634	14	0.9877	-132.077
3384	6153	14	0.9464	-44.026
2539	2611	14	0.9611	-88.053
2467	2531	14	0.9556	88.052
2543	2637	14	0.9979	-44.026
2869	6110	14	0.9488	44.026
2634	6124	14	0.9844	-88.053
2548	3389	14	0.97	-88.053
2487	2539	14	0.9765	-132.077
2634	6114	14	0.9682	-44.026
2583	3386	14	0.9779	44.025
2487	2586	14	0.9787	-176.104
2648	6135	14	0.9872	-44.026
3384	6110	14	0.9548	88.052
2641	6111	14	0.9752	0.000
2634	6111	14	0.9819	44.026
2586	6135	14	0.9889	-132.079
6110	6124	14	0.9887	-88.052
2531	3389	14	0.9427	-220.131
2487	2611	14	0.9716	-220.130
2467	3389	14	0.9616	-132.079
2531	2587	14	0.9599	-84.094
2539	2543	14	0.9672	84.093
3388	3389	14	0.9682	-28.032
6111	6124	14	0.9947	-132.078
2480	2611	14	0.9549	-132.079
2586	2611	14	0.9905	-44.026
6111	6114	14	0.9932	-88.052
2651	3389	14	0.9714	-44.027
2467	2548	14	0.9907	-44.026
2586	2637	14	0.9825	84.093
2438	2648	14	0.9768	-220.131
2515	2543	14	0.9873	-88.052
2543	2609	14	0.9671	176.104
3384	6124	14	0.9682	0.000
2539	6135	14	0.9749	-176.106
2490	2548	14	0.9688	-88.052
6110	6111	14	0.9966	44.026
51	54	14	0.9941	44.026
2521	2637	14	0.9919	-88.053
2438	6135	14	0.9871	-264.157
2587	6110	14	0.9495	-132.078
2546	2609	14	0.9922	28.030
2539	2583	14	0.9728	176.103
2480	6135	14	0.9651	-220.132
2573	6114	14	0.9868	-132.078
2480	3386	14	0.9436	176.102
2521	2543	14	0.9948	-44.026
51	2869	14	0.9532	-104.046
2869	3384	14	0.9677	-44.027
2467	2546	14	0.9757	132.079
2611	3389	14	0.964	56.061
2587	3384	14	0.9914	-220.130
2487	2533	14	0.9801	84.094
2634	3384	14	0.9844	-88.053
2546	2583	14	0.9846	-56.063
2533	2609	14	0.9963	44.026
2609	2637	14	0.9624	-220.130
