Metabolite ID,Log-fold Change,,,,P-value,,,,Q-value,,,,Standard Error,,,,W-value,,,
,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion
6493,-4.40E-06,-1.89E-06,1.14E-06,-6.23E-06,,,,,,,,,,,,,,,,
2805,0.008806752,0.001550981,4.93E-04,-0.002670113,,,,,,,,,,,,,,,,
3147,-4.40E-06,-1.89E-06,-1.05E-05,2.58E-05,,,,,,,,,,,,,,,,
3495,-4.40E-06,-1.89E-06,5.06E-05,3.97E-04,,,,,,,,,,,,,,,,
3600,-4.40E-06,-1.89E-06,-1.08E-05,5.40E-06,,,,,,,,,,,,,,,,
2953,2.52E-04,-1.43E-05,-6.15E-05,-1.85E-04,,,,,,,,,,,,,,,,
3915,-4.40E-06,-1.89E-06,9.92E-06,4.29E-05,,,,,,,,,,,,,,,,
715,1.94E-06,-2.78E-06,-9.60E-06,1.10E-05,,,,,,,,,,,,,,,,
685,4.45E-04,1.77E-04,6.78E-04,0.001127624,,,,,,,,,,,,,,,,
753,1.56E-04,3.56E-05,1.05E-04,1.40E-04,,,,,,,,,,,,,,,,
735,7.34E-05,2.28E-05,-2.66E-06,-4.50E-05,,,,,,,,,,,,,,,,
5537,-4.40E-06,-1.89E-06,-8.41E-06,-8.31E-06,,,,,,,,,,,,,,,,
2401,2.92E-04,-9.25E-05,-3.92E-05,-1.15E-04,,,,,,,,,,,,,,,,
1528,5.03E-05,1.59E-05,1.53E-05,-4.14E-06,,,,,,,,,,,,,,,,
3702,-4.40E-06,-1.89E-06,1.30E-05,1.60E-04,,,,,,,,,,,,,,,,
6421,-4.40E-06,-1.89E-06,4.15E-05,2.08E-04,,,,,,,,,,,,,,,,
1127,1.84E-04,-8.51E-05,-3.51E-05,-5.40E-05,,,,,,,,,,,,,,,,
3490,9.56E-07,1.05E-06,-1.23E-05,-2.37E-05,,,,,,,,,,,,,,,,
873,1.85E-06,3.07E-06,2.66E-05,7.69E-05,,,,,,,,,,,,,,,,
9367,7.05E-06,1.74E-06,-9.65E-06,-8.77E-06,,,,,,,,,,,,,,,,
989,1.16E-04,-6.01E-05,-3.30E-05,-2.71E-05,,,,,,,,,,,,,,,,
6450,-4.40E-06,-1.89E-06,4.62E-06,8.41E-05,,,,,,,,,,,,,,,,
3146,-4.40E-06,3.71E-06,3.53E-04,7.18E-04,,,,,,,,,,,,,,,,
9347,-4.40E-06,-1.68E-06,-8.57E-06,-2.91E-06,,,,,,,,,,,,,,,,
3872,-4.40E-06,1.20E-07,2.86E-05,2.11E-04,,,,,,,,,,,,,,,,
2082,9.30E-05,-3.43E-05,8.72E-05,4.30E-04,,,,,,,,,,,,,,,,
2965,-4.40E-06,1.17E-06,3.46E-04,0.001946384,,,,,,,,,,,,,,,,
5934,-4.40E-06,-1.13E-06,3.60E-06,7.33E-06,,,,,,,,,,,,,,,,
3073,-1.36E-06,-4.21E-06,1.53E-04,5.01E-04,,,,,,,,,,,,,,,,
