id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
306,0.0013888404195303617,0.0014603007127865404,0.0014883066870232066,0.0014862885780340144
3233,8.365790058383676e-4,8.904909508743469e-4,8.668525343595563e-4,9.232291964488152e-4
5743,1.1613085404167825e-5,1.3385793985714706e-5,1.57215848156908e-5,1.2509809788868922e-5
4115,1.1613085404168079e-5,1.3311207822614447e-5,2.753137803339494e-5,1.2509809788869215e-5
4079,1.2127650967139091e-5,1.395709458831444e-5,1.5922603746781472e-5,1.3027091388653466e-5
2158,1.1613085404168687e-5,2.0015798510721772e-5,2.208835500188746e-5,1.708958935980036e-5
4897,1.161308540416796e-5,1.39982924518932e-5,1.9774920797893694e-5,1.2527502091069312e-5
2380,7.442638850975302e-5,8.413866755393293e-5,8.460708526498625e-5,8.633397734503103e-5
3782,1.1613085404168308e-5,1.5281708389729635e-5,3.166555451429912e-5,1.2509809788869649e-5
2895,1.1613085404169116e-5,1.3349005213567139e-5,2.558291368131834e-5,1.2509809788870162e-5
6974,1.2530597818236661e-5,1.4707638168116213e-5,1.6213308727032012e-5,1.512919518957687e-5
524,9.973098831989643e-5,1.0623995747568451e-4,1.0410838248338282e-4,1.0896743898734474e-4
1438,1.63917381541612e-5,1.879078080635831e-5,2.04118686188247e-5,1.813606218035693e-5
1048,1.7820792195145585e-5,1.9810683198810664e-5,2.1478913715171633e-5,1.9529289072571644e-5
915,1.7791546084652727e-5,7.666394141909689e-5,1.0573914228342252e-4,2.6131056852147733e-5
3036,1.1613085404174418e-5,2.1212607992484808e-5,7.749604663887307e-5,1.2509809788875e-5
3331,1.1664138591908082e-5,4.196998801954862e-5,9.202639640020314e-5,1.2528205210981408e-5
3565,1.1613085404255405e-5,2.5825365089658264e-5,3.200604998455394e-4,1.2509809788919973e-5
648,4.360607547750438e-5,5.0446017116474245e-5,5.072649183334551e-5,4.872814597829585e-5
1758,1.1840911697420681e-5,4.211088102009583e-5,8.536301361345714e-5,1.4050465080951711e-5
2598,2.9952678917652122e-5,3.2327835617464814e-5,3.378598683191847e-5,3.298115283200097e-5
2860,1.161308540416972e-5,1.5889633183418864e-5,9.76996708409977e-5,1.2486959530485324e-5
307,1.1613085406362614e-5,7.218533562022016e-4,9.592459664857692e-4,8.439411085034065e-4
534,6.029055990697373e-5,6.183438203133759e-5,6.518161142336947e-5,6.423887018380677e-5
712,3.7478612429596276e-5,3.9628851629639755e-5,3.9606883191162965e-5,3.865595504019324e-5
2047,1.1664622665717348e-5,1.3930709683741742e-5,1.5693090422451712e-5,1.3841792245591159e-5
2194,1.1613085404168621e-5,4.171493869843299e-5,4.044497821051806e-5,1.2509809788869265e-5
746,2.6385152134947288e-5,7.335683366192548e-5,1.2674971201420446e-4,3.0052083449123587e-5
928,1.2259559371217917e-4,1.2845069914340518e-4,1.2691088595938367e-4,1.2886723171768344e-4
2394,1.0055525390697501e-4,1.0774415499239453e-4,1.071873732518321e-4,1.09939902268048e-4
496,1.2086781224190203e-4,1.2890944368663766e-4,1.2836804062458864e-4,1.3160042958650854e-4
3620,1.1613085404167517e-5,1.3427393515458043e-5,1.5932885446188103e-5,1.2509809788868724e-5
4662,1.1613085404168052e-5,1.3230660243627075e-5,1.580704147164365e-5,1.2509809788869219e-5
2330,6.952743164969452e-5,7.514286770338449e-5,7.244623387183217e-5,7.435028351137153e-5
3576,1.1613085404167547e-5,1.449541200998807e-5,4.45528091334358e-5,1.2509809788869209e-5
2668,1.1355656217674415e-5,1.3397165197725705e-5,1.5939112099894875e-5,1.2613910641441829e-5
540,4.835283922454823e-5,5.166435576452719e-5,5.231677152320934e-5,5.266223199945137e-5
6525,1.1613085404167481e-5,1.7974798884915883e-5,1.683586894626758e-5,1.2509809788868734e-5
430,1.3011764632968254e-5,1.5025971561646035e-5,1.66135022365154e-5,1.4202806079263446e-5
4938,1.2664573512659326e-5,1.4213720022852167e-5,2.4810154756542838e-5,1.3491590366103566e-5
2455,8.99400240649309e-5,9.49225064423509e-5,9.41622230102265e-5,9.74681097095469e-5
266,1.1857152537340645e-5,1.6820162656585048e-5,1.655571066136576e-5,1.2806871669690984e-5
3318,1.1613085404167842e-5,2.9417700327502177e-5,7.693181753804323e-5,1.2509809788869012e-5
3328,1.1613085404163492e-5,1.585968996859027e-5,5.9588072513048645e-5,1.2509809788864914e-5
1884,1.161308540443e-5,1.5938621766912596e-4,2.2433774833156419e-4,1.3276246052129182e-5
4717,1.161308540416831e-5,1.3268438666904629e-5,1.4827849804414152e-5,1.2509809788869458e-5
3603,1.1613085404168182e-5,1.342308120434011e-5,1.5441792597947544e-5,1.2509809788869253e-5
