SampleID	add_0c	add_0c_group	facility
60825_S2044_L003_R1_001.trimmed.fastq.gz	252.9	advanced	SHSU
60789_S2019_L003_R1_001.trimmed.fastq.gz	170.4	active	SHSU
60771_S2208_L003_R1_001.trimmed.fastq.gz	189.05	active	SHSU
60699_S2212_L003_R1_001.trimmed.fastq.gz	40.6	early	SHSU
60680_S1730_L003_R1_001.trimmed.fastq.gz	451.65	advanced	CMU
60662_S1734_L003_R1_001.trimmed.fastq.gz	477.8	advanced	CMU
60660_S1720_L003_R1_001.trimmed.fastq.gz	424.7	advanced	CMU
60646_S1719_L003_R1_001.trimmed.fastq.gz	398.55	advanced	CMU
60644_S1715_L003_R1_001.trimmed.fastq.gz	348.05	advanced	CMU
60626_S1736_L003_R1_001.trimmed.fastq.gz	373.85	advanced	CMU
60624_S1716_L003_R1_001.trimmed.fastq.gz	322.8	advanced	CMU
60608_S1735_L003_R1_001.trimmed.fastq.gz	244.45	advanced	CMU
60590_S1714_L003_R1_001.trimmed.fastq.gz	270.85	advanced	CMU
60588_S1717_L003_R1_001.trimmed.fastq.gz	219.2	advanced	CMU
60574_S1713_L003_R1_001.trimmed.fastq.gz	193.95	active	CMU
60554_S1727_L003_R1_001.trimmed.fastq.gz	169.5	active	CMU
60552_S1729_L003_R1_001.trimmed.fastq.gz	122.55	active	CMU
60536_S1731_L003_R1_001.trimmed.fastq.gz	49.75	early	CMU
60519_S2087_L003_R1_001.trimmed.fastq.gz	72	active	CMU
60516_S1722_L003_R1_001.trimmed.fastq.gz	25.55	early	CMU
60502_S1723_L003_R1_001.trimmed.fastq.gz	0	day0	CMU
60501_S2191_L003_R1_001.trimmed.fastq.gz	19.4	early	CMU
60483_S2287_L003_R1_001.trimmed.fastq.gz	19.4	early	CMU
60445_S2068_L003_R1_001.trimmed.fastq.gz	6.95	early	CMU
60431_S2069_L003_R1_001.trimmed.fastq.gz	6.95	early	CMU
60387_S2032_L003_R1_001.trimmed.fastq.gz	12.45	early	CMU
60371_S2038_L003_R1_001.trimmed.fastq.gz	5.8	early	CMU
55593_S1952_L003_R1_001.trimmed.fastq.gz	1.4	early	CMU
55590_S1890_L003_R1_001.trimmed.fastq.gz	1.4	early	CMU
55569_S2264_L003_R1_001.trimmed.fastq.gz	31.1	early	CMU
55551_S2016_L003_R1_001.trimmed.fastq.gz	0	day0	CMU
55515_S2105_L006_R1_001.trimmed.fastq.gz	27.5	early	CMU
55479_S2297_L003_R1_001.trimmed.fastq.gz	26.1	early	CMU
55462_S1886_L003_R1_001.trimmed.fastq.gz	26.1	early	CMU
55461_S2026_L003_R1_001.trimmed.fastq.gz	26.1	early	CMU
55441_S2116_L003_R1_001.trimmed.fastq.gz	26.1	early	CMU
55427_S2122_L003_R1_001.trimmed.fastq.gz	25.8	early	CMU
55391_S2092_L006_R1_001.trimmed.fastq.gz	11.1	early	CMU
55355_S2015_L003_R1_001.trimmed.fastq.gz	486.1	advanced	SHSU
55352_S1573_L003_R1_001.trimmed.fastq.gz	432.5	advanced	SHSU
55316_S1580_L003_R1_001.trimmed.fastq.gz	348.1	advanced	SHSU
55281_S2047_L003_R1_001.trimmed.fastq.gz	256.45	advanced	SHSU
55263_S2051_L003_R1_001.trimmed.fastq.gz	280.6	advanced	SHSU
55261_S2103_L003_R1_001.trimmed.fastq.gz	229.8	advanced	SHSU
55247_S2156_L003_R1_001.trimmed.fastq.gz	201.45	advanced	SHSU
55245_S2272_L003_R1_001.trimmed.fastq.gz	146.15	active	SHSU
55227_S2126_L003_R1_001.trimmed.fastq.gz	173.4	active	SHSU
55225_S2077_L003_R1_001.trimmed.fastq.gz	118.95	active	SHSU
55209_S2162_L003_R1_001.trimmed.fastq.gz	29.2	early	SHSU
55191_S2075_L006_R1_001.trimmed.fastq.gz	58.9	active	SHSU
55189_S2181_L003_R1_001.trimmed.fastq.gz	0	day0	SHSU
55173_S2230_L003_R1_001.trimmed.fastq.gz	503.3333333	advanced	SHSU
55154_S1499_L003_R1_001.trimmed.fastq.gz	530.8333333	advanced	SHSU
55152_S1471_L003_R1_001.trimmed.fastq.gz	476.1111111	advanced	SHSU
55139_S2149_L003_R1_001.trimmed.fastq.gz	449.4444444	advanced	SHSU
55136_S1468_L003_R1_001.trimmed.fastq.gz	393.6111111	advanced	SHSU
55119_S2071_L006_R1_001.trimmed.fastq.gz	422.2222222	advanced	SHSU
55116_S1480_L003_R1_001.trimmed.fastq.gz	364.1666667	advanced	SHSU
55102_S1506_L003_R1_001.trimmed.fastq.gz	335.5555556	advanced	SHSU
55101_S2018_L003_R1_001.trimmed.fastq.gz	278.0555556	advanced	SHSU
55082_S1569_L003_R1_001.trimmed.fastq.gz	306.9444444	advanced	SHSU
55081_S2037_L003_R1_001.trimmed.fastq.gz	250.2777778	advanced	SHSU
55067_S2079_L003_R1_001.trimmed.fastq.gz	223.0555556	advanced	SHSU
55064_S1510_L003_R1_001.trimmed.fastq.gz	166.3888889	active	SHSU
55046_S1481_L003_R1_001.trimmed.fastq.gz	195.5555556	active	SHSU
55045_S2052_L003_R1_001.trimmed.fastq.gz	137.5	active	SHSU
55028_S1571_L003_R1_001.trimmed.fastq.gz	55.27777778	active	SHSU
