Row,Carbohydrates,Lipids,AminoAcids
SHSU_advanced.final.156.xml,0.315375,0.311666667,0.45
SHSU_advanced.final.161.xml,0.444821429,0.414,0.6
SHSU_advanced.final.170.xml,2.7875,0.579,0.394357143
SHSU_advanced.final.181.xml,0.2,0.001,0.001
SHSU_advanced.final.183.xml,4.666555556,0.946786918,1.911
SHSU_advanced.final.198.xml,0.2,0.001,0.001
SHSU_advanced.final.206.xml,0.2,0.134166667,0.175125
SHSU_advanced.final.227.xml,1.249708333,0.10425,0.1848
SHSU_advanced.final.240.xml,1.075875,0.83575,0.897375
SHSU_advanced.final.252.xml,1.6104,0.0085,0.095611111
SHSU_advanced.final.260.xml,0.266854167,0.075625,0.075625
SHSU_advanced.final.35.xml,0.334375,0.037125,0.1849375
SHSU_advanced.final.37.xml,9.88875,1.328884375,1.359916667
SHSU_advanced.final.42.xml,7.8649,0.34965,0.8885
SHSU_advanced.final.47.xml,0.113714286,0.046,0.498076923
SHSU_advanced.final.49.xml,0.675625,0.3805,0.476
SHSU_advanced.final.69.xml,4.8821,0.007,0.007
SHSU_early.final.2.xml,0.35,0.325125,0.325125
UTK.bins.107.xml,0.38675,0.590958333,0.752
UTK.bins.113.xml,750.07525,750.00925,750.0260972
UTK.bins.114.xml,1.8,0.016,0.043125
UTK.bins.126.xml,0.4133125,0.4131875,0.477875
UTK.bins.127.xml,0.15,0.125814815,0.124257576
UTK.bins.134.xml,0.187022727,0.185302941,0.325
UTK.bins.141.xml,0.001,0.001,0.5005
UTK.bins.143.xml,1.4196875,0.094666667,0.87675
UTK.bins.15.xml,0.115,0.189375,0.651
UTK.bins.162.xml,0.48875,0.003125,0.003125
UTK.bins.17.xml,0.627833333,0.03788125,0.540784722
UTK.bins.171.xml,0.65,0.08825,0.14815
UTK.bins.176.xml,0.787083333,0.5114375,1.137125
UTK.bins.183.xml,0.25,0.25,0.25
UTK.bins.184.xml,0.72575,0.45184375,0.53925
UTK.bins.186.xml,0.456125,1.02028125,0.649852273
UTK.bins.19.xml,0,0,0
UTK.bins.192.xml,0.001,0.001,0.0755
UTK.bins.200.xml,0.244291667,0.13475,0.261875
UTK.bins.23.xml,0.139333333,0.08775,1.072166667
UTK.bins.27.xml,0.179995575,0.02646875,0.15703125
UTK.bins.33.xml,0.983403846,0.418490385,1.3798125
UTK.bins.37.xml,5.93,0.292,2.065325
UTK.bins.42.xml,0.3,0.3,0.3
UTK.bins.43.xml,0.45,0.286,0.286
UTK.bins.50.xml,0.001,0.001,0.443714286
UTK.bins.51.xml,0.58175,0.153,0.153
UTK.bins.52.xml,0.525,0.0245,0.32675
UTK.bins.53.xml,0.6,0.400666667,0.407125
UTK.bins.55.xml,0.351875,0.278782051,0.42525
UTK.bins.58.xml,0.375166667,0.002225,0.002225
UTK.bins.61.xml,0.125,0.0025,0.0429
UTK.bins.64.xml,6.304,0.2972,0.864166667
UTK.bins.71.xml,0.001,0.001,0.373076923
UTK.bins.77.xml,250,250,250
UTK.bins.84.xml,0.334454545,0.345625,0.328115385
UTK.bins.92.xml,0.520625,0.253072917,0.317032258
UTK_active.final.18.xml,0.0025,0.0025,0.5
UTK_active.final.26.xml,0.7,0.10553125,0.3095
UTK_active.final.44.xml,2.051,0.004,0.0728
UTK_active.final.8.xml,0.480701754,0.100666667,0.100666667
UTK_advanced.final.10.xml,0.271083333,0.042,0.45
UTK_advanced.final.34.xml,0.301,0.005,0.1015
