sample_name,season,subjects,add_0c,add_0c_group,facility,timepoint
soil.hip.SHSU.2016.072.2016.11.07.day4,fall,2016.072,62.55,active,SHSU,63
soil.hip.SHSU.2016.072.2016.11.06.day3,fall,2016.072,40.6,early,SHSU,41
soil.hip.SHSU.2016.072.2016.11.04.day1,fall,2016.072,0,day0,SHSU,0
soil.hip.SHSU.2016.072.2016.11.05.day2,fall,2016.072,19.45,early,SHSU,19
soil.hip.SHSU.2016.073.2016.11.23.day20,fall,2016.073,342.45,advanced,SHSU,342
soil.hip.SHSU.2016.073.2016.11.21.day18,fall,2016.073,305.2,advanced,SHSU,305
soil.hip.SHSU.2016.073.2016.11.22.day19,fall,2016.073,326.9,advanced,SHSU,327
soil.hip.SHSU.2016.073.2016.11.19.day16,fall,2016.073,281,advanced,SHSU,281
soil.hip.SHSU.2016.073.2016.11.17.day14,fall,2016.073,252.9,advanced,SHSU,253
soil.hip.SHSU.2016.073.2016.11.13.day10,fall,2016.073,170.4,active,SHSU,170
soil.hip.SHSU.2016.073.2016.11.14.day11,fall,2016.073,189.05,active,SHSU,189
soil.hip.SHSU.2016.073.2016.11.06.day3,fall,2016.073,40.6,early,SHSU,41
soil.hip.CMU.17.10.2017.08.27.day19,summer,17-10,451.65,advanced,CMU,452
soil.hip.CMU.17.10.2017.08.28.day20,summer,17-10,477.8,advanced,CMU,478
soil.hip.CMU.17.10.2017.08.26.day18,summer,17-10,424.7,advanced,CMU,425
soil.hip.CMU.17.10.2017.08.25.day17,summer,17-10,398.55,advanced,CMU,399
soil.hip.CMU.17.10.2017.08.23.day15,summer,17-10,348.05,advanced,CMU,348
soil.hip.CMU.17.10.2017.08.24.day16,summer,17-10,373.85,advanced,CMU,374
soil.hip.CMU.17.10.2017.08.22.day14,summer,17-10,322.8,advanced,CMU,323
soil.hip.CMU.17.10.2017.08.19.day11,summer,17-10,244.45,advanced,CMU,244
soil.hip.CMU.17.10.2017.08.20.day12,summer,17-10,270.85,advanced,CMU,271
soil.hip.CMU.17.10.2017.08.18.day10,summer,17-10,219.2,advanced,CMU,219
soil.hip.CMU.17.10.2017.08.17.day9,summer,17-10,193.95,active,CMU,194
soil.hip.CMU.17.10.2017.08.16.day8,summer,17-10,169.5,active,CMU,170
soil.hip.CMU.17.10.2017.08.14.day6,summer,17-10,122.55,active,CMU,123
soil.hip.CMU.17.10.2017.08.11.day3,summer,17-10,49.75,early,CMU,50
soil.hip.CMU.17.10.2017.08.12.day4,summer,17-10,72,active,CMU,72
soil.hip.CMU.17.10.2017.08.10.day2,summer,17-10,25.55,early,CMU,26
soil.hip.CMU.17.10.2017.08.09.day1,summer,17-10,0,day0,CMU,0
soil.hip.CMU.16.14.2016.12.day.day20,fall,16-14,19.4,early,CMU,19
soil.hip.CMU.16.14.2016.12.day.day21,fall,16-14,19.4,early,CMU,19
soil.hip.CMU.16.14.2016.12.day.day15,fall,16-14,6.95,early,CMU,7
soil.hip.CMU.16.14.2016.12.day.day14,fall,16-14,6.95,early,CMU,7
soil.hip.CMU.16.15.2016.12.day5,winter,Mr. 16-15,12.45,early,CMU,12
soil.hip.CMU.16.15.2016.12.day4,winter,Mr. 16-15,5.8,early,CMU,6
soil.hip.CMU.16.14.2016.12.day.day7,fall,16-14,1.4,early,CMU,1
soil.hip.CMU.16.14.2016.12.day.day8,fall,16-14,1.4,early,CMU,1
soil.hip.CMU.16.12.2016.11.day.day21,fall,16-12,31.1,early,CMU,31
soil.hip.CMU.16.14.2016.11.day.day1,fall,16-14,0,day0,CMU,0
soil.hip.CMU.16.12.2016.11.day.day18,fall,16-12,27.5,early,CMU,28
soil.hip.CMU.16.12.2016.11.day.day14,fall,16-12,26.1,early,CMU,26
soil.hip.CMU.16.12.2016.11.day.day11,fall,16-12,26.1,early,CMU,26
soil.hip.CMU.16.12.2016.10.day.day9,fall,16-12,26.1,early,CMU,26
soil.hip.CMU.16.12.2016.10.day.day8,fall,16-12,26.1,early,CMU,26
soil.hip.CMU.16.12.2016.10.day.day7,fall,16-12,25.8,early,CMU,26
soil.hip.CMU.16.12.2016.10.day.day3,fall,16-12,11.1,early,CMU,11
soil.hip.SHSU.2016.067.2016.10.05.day20,summer,2016.067,486.1,advanced,SHSU,486
soil.hip.SHSU2016.067.2016.10.03.day18,summer,2016.067,432.5,advanced,SHSU,433
soil.hip.SHSU.2016.067.2016.09.29.day14,summer,2016.067,348.1,advanced,SHSU,348
soil.hip.SHSU.2016.067.2016.09.25.day10,summer,2016.067,256.45,advanced,SHSU,256
soil.hip.SHSU.2016.067.2016.09.26.day11,summer,2016.067,280.6,advanced,SHSU,281
soil.hip.SHSU.2016.067.2016.09.24.day9,summer,2016.067,229.8,advanced,SHSU,230
soil.hip.SHSU.2016.067.2016.09.23.day8,summer,2016.067,201.45,advanced,SHSU,201
soil.hip.SHSU.2016.067.2016.09.21.day6,summer,2016.067,146.15,active,SHSU,146
soil.hip.SHSU.2016.067.2016.09.22.day7,summer,2016.067,173.4,active,SHSU,173
soil.hip.SHSU.2016.067.2016.09.20.day5,summer,2016.067,118.95,active,SHSU,119
soil.hip.SHSU.2016.067.2016.09.17.day2,summer,2016.067,29.2,early,SHSU,29
soil.hip.SHSU.2016.067.2016.09.18.day3,summer,2016.067,58.9,active,SHSU,59
soil.hip.SHSU.2016.067.2016.09.16.day1,summer,2016.067,0,day0,SHSU,0
soil.hip.SHSU.2016.064.2016.09.12.day19,summer,2016.064,503.3333333,advanced,SHSU,503
soil.hip.SHSU.2016.064.2016.09.13.day20,summer,2016.064,530.8333333,advanced,SHSU,531
soil.hip.SHSU.2016.064.2016.09.11.day18,summer,2016.064,476.1111111,advanced,SHSU,476
soil.hip.SHSU.2016.064.2016.09.10.day17,summer,2016.064,449.4444444,advanced,SHSU,449
soil.hip.SHSU.2016.064.2016.09.08.day15,summer,2016.064,393.6111111,advanced,SHSU,394
soil.hip.SHSU.2016.064.2016.09.09.day16,summer,2016.064,422.2222222,advanced,SHSU,422
soil.hip.SHSU.2016.064.2016.09.07.day14,summer,2016.064,364.1666667,advanced,SHSU,364
soil.hip.SHSU.2016.064.2016.09.06.day13,summer,2016.064,335.5555556,advanced,SHSU,336
soil.hip.SHSU.2016.064.2016.09.04.day11,summer,2016.064,278.0555556,advanced,SHSU,278
soil.hip.SHSU.2016.064.2016.09.05.day12,summer,2016.064,306.9444444,advanced,SHSU,307
soil.hip.SHSU.2016.064.2016.09.03.day10,summer,2016.064,250.2777778,advanced,SHSU,250
soil.hip.SHSU.2016.064.2016.09.02.day9,summer,2016.064,223.0555556,advanced,SHSU,223
soil.hip.SHSU.2016.064.2016.08.31.day7,summer,2016.064,166.3888889,active,SHSU,166
soil.hip.SHSU.2016.064.2016.09.01.day8,summer,2016.064,195.5555556,active,SHSU,196
soil.hip.SHSU.2016.064.2016.08.30.day6,summer,2016.064,137.5,active,SHSU,138
soil.hip.SHSU.2016.064.2016.08.27.day3,summer,2016.064,55.27777778,active,SHSU,55
soil.hip.SHSU.2016.064.2016.08.28.day4,summer,2016.064,82.22222222,active,SHSU,82
soil.hip.SHSU.2016.064.2016.08.26.day2,summer,2016.064,27.5,early,SHSU,28
soil.hip.SHSU.2016.064.2016.08.25.day1,summer,2016.064,0,day0,SHSU,0
soil.hip.SHSU.2016.065.2016.09.14.day21,summer,2016.065,558.6111111,advanced,SHSU,559
soil.hip.SHSU.2016.065.2016.09.12.day19,summer,2016.065,503.3333333,advanced,SHSU,503
soil.hip.SHSU.2016.065.2016.09.11.day18,summer,2016.065,476.1111111,advanced,SHSU,476
soil.hip.SHSU.2016.065.2016.09.10.day17,summer,2016.065,449.4444444,advanced,SHSU,449
soil.hip.SHSU.2016.065.2016.09.07.day14,summer,2016.065,364.1666667,advanced,SHSU,364
soil.hip.SHSU.2016.065.2016.09.04.day11,summer,2016.065,278.0555556,advanced,SHSU,278
soil.hip.SHSU2016.065.2016.09.03.day10,summer,2016.065,250.2777778,advanced,SHSU,250
soil.hip.SHSU.2016.065.2016.08.31.day7,summer,2016.065,166.3888889,active,SHSU,166
soil.hip.SHSU.2016.065.2016.08.30.day6,summer,2016.065,137.5,active,SHSU,138
soil.hip.SHSU.2016.065.2016.08.28.day4,summer,2016.065,82.22222222,active,SHSU,82
soil.hip.SHSU.2016.065.2016.08.29.day5,summer,2016.065,109.4444444,active,SHSU,109
soil.hip.SHSU.2016.065.2016.08.27.day3,summer,2016.065,55.27777778,active,SHSU,55
soil.hip.UTK.K016.12.2017.06.14.day21,summer,UTK.K016.12,441.3,advanced,UTK,441
soil.hip.SHSU.2016.065.2016.08.26.day2,summer,2016.065,27.5,early,SHSU,28
soil.hip.UTK.K016.12.2017.06.12.day19,summer,UTK.K016.12,392.2,advanced,UTK,392
soil.hip.UTK.K016.12.2017.06.10.day17,summer,UTK.K016.12,341.7,advanced,UTK,342
soil.hip.UTK.K016.12.2017.06.11.day18,summer,UTK.K016.12,366.3,advanced,UTK,366
soil.hip.UTK.K016.12.2017.06.09.day16,summer,UTK.K016.12,319.6,advanced,UTK,320
soil.hip.UTK.K016.12.2017.06.08.day15,summer,UTK.K016.12,298.6,advanced,UTK,299
soil.hip.UTK.K016.12.2017.06.06.day13,summer,UTK.K016.12,258.6,advanced,UTK,259
soil.hip.UTK.K016.12.2017.06.07.day14,summer,UTK.K016.12,278.9,advanced,UTK,279
soil.hip.UTK.K016.12.2017.06.05.day12,summer,UTK.K016.12,236.6,advanced,UTK,237
