id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
1444,2.8235838299161284e-4,3.94209121927396e-6,-3.176294047513103e-5,-1.1702314929129324e-4
5815,-3.1655744134959747e-6,-1.8070885084241967e-6,-3.549685103641091e-6,2.8453759551460272e-6
1105,2.3328985706829258e-4,-4.1998695109227915e-5,-6.0952439009644164e-5,-9.280345894432468e-5
2872,-3.1655744134959726e-6,-1.8070885084241927e-6,1.0694294390298596e-5,2.845375955146021e-6
3836,-3.165574413495982e-6,-1.2220015046819277e-6,-3.501508346035458e-6,2.84537595514603e-6
1089,1.0208153681662182e-4,1.724680398059232e-5,4.124577624328253e-5,-3.1072205060878187e-5
564,-2.0544855240134034e-6,3.6126393699444916e-7,-3.877685462390187e-6,2.789106049429439e-6
2899,-3.165574413495961e-6,4.426897877189316e-6,5.389432081091224e-5,2.845375955146029e-6
3570,-3.165574413495971e-6,5.0672574045703325e-6,-2.501301096812712e-6,2.8453759551460234e-6
517,2.8207437392248477e-4,4.012570779270919e-6,-9.126805225945885e-5,-6.9723703708892e-5
560,1.7956191760284222e-4,-5.1251194262821264e-5,-6.466821490566887e-5,-8.170859159497476e-5
876,2.2836006196007386e-4,-1.872665511920163e-5,1.4978794176572215e-5,-8.385647373294662e-5
3955,-3.1655744134959688e-6,-1.807088508424201e-6,-2.6982586968411026e-6,2.845375955146021e-6
3592,-3.165574413495972e-6,2.661567322417458e-6,6.678301874055254e-6,2.8453759551460264e-6
306,0.013807993516746614,-1.4632411024455484e-4,-0.0011531891438550596,-0.0015162355410175896
3233,-3.165574413495953e-6,6.969627747327673e-5,1.3559285650247828e-5,3.990994040742718e-5
5743,-3.1655744134959734e-6,-1.8070885084241937e-6,-3.7725837027926145e-6,2.8453759551460234e-6
4115,-3.16557441349597e-6,-1.807088508424206e-6,-3.6709835204160118e-6,2.8453759551460247e-6
4079,-3.1655744134959743e-6,-1.8070885084241975e-6,-3.818364862155238e-6,2.8453759551460264e-6
2158,-3.165574413495961e-6,4.400858158056774e-5,2.5195319224268857e-5,8.793580755829893e-6
4897,-3.165574413495973e-6,-1.2247647323025103e-6,-3.7581266029970203e-6,2.8453759551460272e-6
2380,8.103296523909001e-5,-1.8048731775193668e-5,-2.020248678799426e-5,-4.683562943209555e-5
3782,-3.165574413495979e-6,-1.6499003350434906e-6,-3.9685628566834e-6,2.8453759551460315e-6
2895,-3.1655744134959794e-6,-1.2340782296735071e-6,2.43839373125507e-6,2.84537595514603e-6
524,2.53742339927977e-4,1.0339415404079996e-5,-8.164438069195998e-5,-4.753713782494629e-5
1438,1.2265175449670924e-5,1.1718506561157477e-5,-4.677781043436283e-6,-3.388563782004506e-6
1048,2.7421111882858066e-6,-6.464488873328888e-6,-2.7900756389370756e-6,-1.9386944572325274e-6
915,2.633650685840919e-5,1.3684589869423383e-5,1.7957437357052353e-4,-9.075110169250411e-6
3036,-3.1655744134959713e-6,6.166228044339597e-6,4.912293594229738e-5,2.8453759551460226e-6
348,6.196437988174511e-5,-9.698425795910494e-7,3.44273460890895e-5,7.75627267223713e-5
3331,-3.165574413495961e-6,2.100917358543187e-5,1.5870685888044225e-5,2.845375955146029e-6
3565,-3.1655744134959688e-6,-1.6372297071886944e-6,1.0883120099639956e-5,2.8453759551460234e-6
648,1.3488185242923917e-4,-4.5687195421999124e-5,-5.467451387358256e-5,-6.526998240049067e-5
1758,-3.1655744134959192e-6,2.833376747498008e-5,1.1222314332264095e-4,8.160338599132026e-6
2598,8.168474091295151e-6,-1.885656758159007e-6,-5.317819883633402e-6,-4.13897485998053e-6
2860,-3.1655744134959777e-6,1.521078217829328e-6,3.403325410910085e-5,2.845375955146025e-6
307,0.026108611303964187,6.092151826011357e-4,-0.0012666632046620947,0.001038503949431583
534,3.5569031586727765e-5,-1.745480466263198e-5,-3.1672788547302444e-5,-2.561565557002201e-5
