id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
2330,3.7732749867964554e-5,3.974025635522679e-5,3.8774726718928604e-5,3.97782877011477e-5
3576,1.0480411082988511e-5,1.1466164237398467e-5,1.1718455996545846e-5,1.1803266516964253e-5
2668,1.040243554906776e-5,1.1369116458416564e-5,1.1789294280644171e-5,1.170002131474934e-5
540,2.105861221886789e-5,2.188101511669749e-5,2.263892997362071e-5,2.2311271846468547e-5
430,1.0480411082988362e-5,1.1465697508230158e-5,1.1867884526688117e-5,1.1803266516964145e-5
4938,1.048041108298852e-5,1.1352321788403834e-5,1.1923071574208572e-5,1.180326651696427e-5
2455,2.363071483342907e-5,2.4812287892522873e-5,2.4728846347213735e-5,2.4562549366556542e-5
266,1.0480411082988836e-5,1.1454586743649278e-5,1.1876131222393026e-5,1.1766036653552117e-5
3318,1.0480411082988072e-5,1.9387839365895486e-5,3.4127055250328815e-5,1.1803266516963366e-5
3328,1.0480411082988318e-5,1.1356898207931236e-5,1.1826745398600315e-5,1.180326651696409e-5
1884,1.0480411083013622e-5,3.435841338201107e-5,6.461664330220811e-5,1.1803266516985558e-5
4717,1.0480411082988423e-5,1.2748072359303434e-5,1.1923071574208478e-5,1.1803266516964182e-5
3603,1.0480411082988616e-5,1.1437955253426378e-5,1.182930162200963e-5,1.1803266516964323e-5
756,6.316147061267973e-5,6.563787551846745e-5,6.601976158078014e-5,6.557531264403186e-5
930,1.0741398131973715e-5,1.1732846930671708e-5,1.2184171103295541e-5,1.2021063825788232e-5
3326,1.0480411082988257e-5,1.1466164237398297e-5,1.3243303439111269e-5,1.1803266516964074e-5
501,2.6138080471744942e-5,3.0272950442017445e-5,2.7725529273170196e-5,2.8997359771711873e-5
3508,1.0480411082988547e-5,1.1466164237398531e-5,1.1667532170670819e-5,1.1803266516964316e-5
3546,1.0480411082988589e-5,1.1308971286810626e-5,1.1819961171749178e-5,1.1803266516964355e-5
2750,1.8555587773852113e-5,4.772547174775681e-5,9.821803995002736e-5,2.151841363002753e-5
512,4.165960463504545e-5,4.544520089423262e-5,4.743189070325758e-5,4.460078208924882e-5
2538,1.3808463436587368e-5,1.4883738675761601e-5,1.4957158193937272e-5,1.4881815732736683e-5
4840,1.0480411082988536e-5,1.1351916393617365e-5,1.1890296704853777e-5,1.1803266516964292e-5
1505,1.0480411082988458e-5,1.1446362371229234e-5,1.2012520357511813e-5,1.1803266516964199e-5
1265,1.0480411082989173e-5,1.3310292895627665e-5,1.819297403271316e-5,1.3189776232219276e-5
2999,1.0480411082988582e-5,1.1415088919958204e-5,1.1818882508354354e-5,1.180326651696434e-5
467,5.1909812163428124e-5,5.768212816111895e-5,5.500740248469973e-5,5.701034370131813e-5
2383,5.942744579075194e-5,6.274277818502841e-5,6.181575531244237e-5,6.132908631493007e-5
2242,1.0480411082991098e-5,3.563073289751731e-5,1.3133288660585722e-5,1.1818771667915674e-5
535,1.0936330503659263e-4,1.1799614858470705e-4,1.168172037080114e-4,1.1765190645778122e-4
5525,1.0480411082988406e-5,1.1466164237398395e-5,1.1873167988416134e-5,1.1803266516964167e-5
652,1.555875006935167e-5,1.8290272569738545e-5,1.7918327853220365e-5,1.8091385714025247e-5
7397,1.0480411082988508e-5,1.1466164237398455e-5,1.1921345320407206e-5,1.1803266516964241e-5
2186,1.0480411082988677e-5,1.1548234734905548e-5,1.1690890161455121e-5,1.1803266516964406e-5
1854,3.58823561405799e-5,3.692844973376049e-5,3.657127474461455e-5,3.625919125009126e-5
1008,5.61621101455201e-5,6.070115774301009e-5,6.640051331402734e-5,5.912664841428512e-5
3319,1.0480411082988582e-5,1.1304170666762792e-5,1.1920698003127343e-5,1.1803266516964346e-5
