SampleID,true_add,predicted_add,body_id
soil.hip.SHSU.2017.043.2017.11.30.day1,0,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.01.day2,14.75,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.02.day3,31.95,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.03.day4,49.45,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.04.day5,72.5,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.05.day6,88.6,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.06.day7,96.1,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.07.day8,100.55,28.3,2017.043
soil.hip.SHSU.2017.043.2017.12.08.day9,103.65,28.3,2017.043
soil.hip.SHSU.2017.043.2017.12.09.day10,111.45,93.33,2017.043
soil.hip.SHSU.2017.043.2017.12.10.day11,120.1,93.33,2017.043
soil.hip.SHSU.2017.043.2017.12.11.day12,134.25,93.33,2017.043
soil.hip.SHSU.2017.043.2017.12.12.day13,143.4,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.13.day14,150.6,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.14.day15,162.3,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.15.day16,172.55,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.16.day17,180.3,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.17.day18,190.85,146.3,2017.043
soil.hip.SHSU.2017.043.2017.12.18.day19,205,146.3,2017.043
soil.hip.SHSU.2017.043.2017.12.19.day20,225.85,146.3,2017.043
soil.hip.SHSU.2017.043.2017.12.20.day21,243.05,146.3,2017.043
,,,
soil.hip.SHSU.2017.045.2017.12.12.day1,0,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.13.day2,7.2,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.14.day3,18.9,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.15.day4,29.15,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.16.day5,36.9,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.17.day6,47.45,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.18.day7,61.6,28.3,2017.045
soil.hip.SHSU.2017.045.2017.12.19.day8,82.45,28.3,2017.045
soil.hip.SHSU.2017.045.2017.12.20.day9,99.65,66.11,2017.045
soil.hip.SHSU.2017.045.2017.12.21.day10,117.15,66.11,2017.045
soil.hip.SHSU.2017.045.2017.12.22.day11,132.15,94.57,2017.045
soil.hip.SHSU.2017.045.2017.12.23.day12,139.9,94.57,2017.045
soil.hip.SHSU.2017.045.2017.12.24.day13,149.05,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.25.day14,154.4,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.26.day15,161.6,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.27.day16,166.05,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.28.day17,170.75,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.29.day18,178.25,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.30.day19,187.45,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.31.day20,191.6,118.36,2017.045
soil.hip.SHSU.2017.045.2017.01.01.day21,191.65,118.36,2017.045
,,,
soil.hip.SHSU.2017.046.2017.12.19.day1,0,32.93,2017.046
soil.hip.SHSU.2017.046.2017.12.20.day2,17.2,28.05,2017.046
soil.hip.SHSU.2017.046.2017.12.21.day3,34.7,28.05,2017.046
soil.hip.SHSU.2017.046.2017.12.22.day4,49.7,28.05,2017.046
soil.hip.SHSU.2017.046.2017.12.23.day5,57.45,28.05,2017.046
soil.hip.SHSU.2017.046.2017.12.24.day6,66.6,28.05,2017.046
soil.hip.SHSU.2017.046.2017.12.25.day7,71.95,66.81,2017.046
soil.hip.SHSU.2017.046.2017.12.26.day8,79.15,24.75,2017.046
soil.hip.SHSU.2017.046.2017.12.27.day9,83.6,24.75,2017.046
soil.hip.SHSU.2017.046.2017.12.28.day10,88.3,24.75,2017.046
soil.hip.SHSU.2017.046.2017.12.29.day11,95.8,93.33,2017.046
soil.hip.SHSU.2017.046.2017.12.30.day12,105,93.33,2017.046
soil.hip.SHSU.2017.046.2017.12.31.day13,109.15,93.33,2017.046
soil.hip.SHSU.2017.046.2017.01.01.day14,109.2,142.45,2017.046
soil.hip.SHSU.2017.046.2018.01.02.day15,109.2,142.45,2017.046
soil.hip.SHSU.2017.046.2018.01.03.day16,110.05,142.45,2017.046
soil.hip.SHSU.2017.046.2018.01.04.day17,113.45,142.45,2017.046
soil.hip.SHSU.2017.046.2018.01.05.day18,122.1,142.45,2017.046
soil.hip.SHSU.2017.046.2018.01.06.day19,130.75,194.03,2017.046
soil.hip.SHSU.2017.046.2018.01.07.day20,144.6,194.03,2017.046
soil.hip.SHSU.2017.046.2018.01.08.day21,156,194.03,2017.046
,,,
soil.hip.CMU.16.04.2016.mo.day1,0,40.27,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day2,7.78,40.27,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day3,16.67,38,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day4,29.72,38,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day5,40,65.06,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day6,44.72,65.06,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day7,50.83,38,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day8,57.78,99.67,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day9,62.22,65.06,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day10,68.06,161.8,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day11,80.28,203.19,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day12,87.78,99.67,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day13,91.67,99.67,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day14,96.11,99.67,CMU_Mr._16_04
