SampleID,true_add,predicted_add,body_id
soil.hip.SHSU.2016.007.2016.04.29.day15,324.44,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.30.day16,350,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.01.day17,373.61,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.02.day18,391.67,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.03.day19,409.17,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.04.day20,428.61,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.05.day21,449.17,362.99,shsu.2016.007
,,,
soil.hip.SHSU.2016.011.2016.04.15.day1,0,64.3,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.16.day2,23.33,64.3,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.17.day3,45.83,131.93,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.18.day4,67.5,194.72,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.19.day5,90.56,296.16,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.20.day6,111.67,354.53,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.21.day7,132.78,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.22.day8,153.89,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.23.day9,174.44,351.76,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.24.day10,194.72,351.76,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.25.day11,220.56,351.76,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.26.day12,247.22,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.27.day13,271.11,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.28.day14,296.39,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.29.day15,324.44,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.30.day16,350,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.01.day17,373.61,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.02.day18,391.67,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.03.day19,409.17,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.04.day20,428.61,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.05.day21,449.17,391.13,shsu.2016.011
,,,
soil.hip.SHSU.2016.024.2016.04.15.day1,0,72.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.16.day2,23.33,64.06,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.17.day3,45.83,97.34,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.18.day4,67.5,224.7,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.19.day5,90.56,296.36,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.20.day6,111.67,364.09,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.21.day7,132.78,367.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.22.day8,153.89,347.82,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.23.day9,174.44,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.24.day10,194.72,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.25.day11,220.56,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.26.day12,247.22,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.27.day13,271.11,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.28.day14,296.39,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.29.day15,324.44,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.30.day16,350,288.41,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.01.day17,373.61,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.02.day18,391.67,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.03.day19,409.17,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.04.day20,428.61,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.05.day21,449.17,278.91,shsu.2016.024
