id	sample_site	host_subject_id	observed_otus	predicted observed_otus	residual	add_0c
soil.hip.UTK.K016.01.2016.04.12.day8	Decomposition Soil	UTK.K016.01	1120	1080.174083	428.3612249	76.3888889
soil.hip.UTK.K016.01.2016.04.13.day9	Decomposition Soil	UTK.K016.01	846	1056.313397	178.2219107	90.27777779
soil.hip.UTK.K016.01.2016.04.14.day10	Decomposition Soil	UTK.K016.01	768	1024.340078	132.1952296	108.8888889
soil.hip.UTK.K016.01.2016.04.15.day11	Decomposition Soil	UTK.K016.01	321	993.7984006	-284.2630927	126.6666667
soil.hip.UTK.K016.01.2016.04.16.day12	Decomposition Soil	UTK.K016.01	426	968.02886	-153.493552	141.6666667
soil.hip.UTK.K016.01.2016.04.17.day13	Decomposition Soil	UTK.K016.01	138	940.3504645	-413.8151566	157.7777778
soil.hip.UTK.K016.01.2016.04.18.day14	Decomposition Soil	UTK.K016.01	199	907.4227181	-319.8874102	176.9444445
soil.hip.UTK.K016.01.2016.04.19.day15	Decomposition Soil	UTK.K016.01	303	872.1089033	-180.5735954	197.5
soil.hip.UTK.K016.01.2016.04.20.day16	Decomposition Soil	UTK.K016.01	269	832.0229513	-174.4876434	220.8333333
soil.hip.UTK.K016.01.2016.04.21.day17	Decomposition Soil	UTK.K016.01	175	795.2774953	-231.7421873	242.2222222
soil.hip.UTK.K016.01.2016.04.22.day18	Decomposition Soil	UTK.K016.01	504	764.7358175	127.7994905	260
soil.hip.UTK.K016.01.2016.04.24.day20	Decomposition Soil	UTK.K016.01	213	706.992958	-105.4576501	293.6111111
soil.hip.UTK.K016.01.2016.04.25.day21	Decomposition Soil	UTK.K016.01	241	672.1563568	-42.62104883	313.8888889
soil.hip.UTK.K016.02.2016.04.13.day1	Decomposition Soil	UTK.K016.02	1112	1211.407855	-305.8869938	0
soil.hip.UTK.K016.02.2016.04.14.day2	Decomposition Soil	UTK.K016.02	1270	1179.434536	-115.9136749	18.61111111
soil.hip.UTK.K016.02.2016.04.16.day4	Decomposition Soil	UTK.K016.02	1352	1123.123317	22.39754346	51.38888889
soil.hip.UTK.K016.02.2016.04.18.day6	Decomposition Soil	UTK.K016.02	1152	1062.517176	-116.9963147	86.66666667
soil.hip.UTK.K016.02.2016.04.19.day7	Decomposition Soil	UTK.K016.02	1351	1027.203361	117.3175001	107.2222222
soil.hip.UTK.K016.02.2016.04.20.day8	Decomposition Soil	UTK.K016.02	1359	987.1174085	165.4034523	130.5555556
soil.hip.UTK.K016.02.2016.04.21.day9	Decomposition Soil	UTK.K016.02	1417	950.3719525	260.1489084	151.9444445
soil.hip.UTK.K016.02.2016.04.22.day10	Decomposition Soil	UTK.K016.02	1398	919.8302749	271.690586	169.7222222
soil.hip.UTK.K016.02.2016.04.23.day11	Decomposition Soil	UTK.K016.02	1235	892.1518794	136.3689814	185.8333333
soil.hip.UTK.K016.02.2016.04.24.day12	Decomposition Soil	UTK.K016.02	1019	862.0874154	-49.56655453	203.3333333
soil.hip.UTK.K016.02.2016.04.25.day13	Decomposition Soil	UTK.K016.02	1179	827.2508141	145.2700467	223.6111111
soil.hip.UTK.K016.02.2016.04.26.day14	Decomposition Soil	UTK.K016.02	505	789.5509306	-491.0300697	245.5555556
soil.hip.UTK.K016.02.2016.04.27.day15	Decomposition Soil	UTK.K016.02	978	748.5105511	23.01030977	269.4444445
soil.hip.UTK.K016.02.2016.04.28.day16	Decomposition Soil	UTK.K016.02	818	709.3790266	-97.85816574	292.2222222
soil.hip.UTK.K016.02.2016.04.29.day17	Decomposition Soil	UTK.K016.02	950	673.1107843	70.41007658	313.3333333
soil.hip.UTK.K016.02.2016.04.30.day18	Decomposition Soil	UTK.K016.02	451	639.7058241	-395.1849633	332.7777778
soil.hip.UTK.K016.02.2016.05.01.day19	Decomposition Soil	UTK.K016.02	845	602.0059407	36.51492012	354.7222222
soil.hip.UTK.K016.02.2016.05.02.day20	Decomposition Soil	UTK.K016.02	1108	565.7376984	335.7831624	375.8333333
soil.hip.UTK.K016.02.2016.05.03.day21	Decomposition Soil	UTK.K016.02	849	533.7643795	108.7564813	394.4444444
soil.hip.UTK.K016.03.2016.05.06.day1	Decomposition Soil	UTK.K016.03	1257	1211.407855	124.2326167	0
soil.hip.UTK.K016.03.2016.05.07.day2	Decomposition Soil	UTK.K016.03	1413	1179.434536	312.2059356	18.61111111
soil.hip.UTK.K016.03.2016.05.08.day3	Decomposition Soil	UTK.K016.03	1333	1140.303011	271.3374602	41.38888889
soil.hip.UTK.K016.03.2016.05.10.day5	Decomposition Soil	UTK.K016.03	866	1063.471603	-118.8311317	86.11111111
soil.hip.UTK.K016.03.2016.05.11.day6	Decomposition Soil	UTK.K016.03	1090	1022.908437	145.7320341	109.7222222
soil.hip.UTK.K016.03.2016.05.14.day9	Decomposition Soil	UTK.K016.03	583	921.7391297	-260.0986584	168.6111111
soil.hip.UTK.K016.03.2016.05.15.day10	Decomposition Soil	UTK.K016.03	973	901.2189399	150.4215315	180.5555556
soil.hip.UTK.K016.03.2016.05.17.day12	Decomposition Soil	UTK.K016.03	824	845.3849352	57.25553612	213.0555556
soil.hip.UTK.K016.03.2016.05.18.day13	Decomposition Soil	UTK.K016.03	672	813.8888301	-63.24835875	231.3888889
soil.hip.UTK.K016.03.2016.05.19.day14	Decomposition Soil	UTK.K016.03	694	780.4838701	-7.843398781	250.8333333
soil.hip.UTK.K016.03.2016.05.20.day15	Decomposition Soil	UTK.K016.03	545	749.4649786	-125.8245072	268.8888889
soil.hip.UTK.K016.03.2016.05.21.day16	Decomposition Soil	UTK.K016.03	1068	714.6283773	432.012094	289.1666667
soil.hip.UTK.K016.03.2016.05.22.day17	Decomposition Soil	UTK.K016.03	402	682.1778447	-201.5373734	308.0555556
soil.hip.UTK.K016.03.2016.05.23.day18	Decomposition Soil	UTK.K016.03	115	651.1589533	-457.518482	326.1111111
soil.hip.UTK.K016.03.2016.05.24.day19	Decomposition Soil	UTK.K016.03	464	618.2312069	-75.59073561	345.2777778
soil.hip.UTK.K016.03.2016.05.25.day20	Decomposition Soil	UTK.K016.03	329	581.0085371	-173.3680658	366.9444445
soil.hip.UTK.K016.03.2016.05.26.day21	Decomposition Soil	UTK.K016.03	407	540.9225851	-55.28211379	390.2777778
soil.hip.UTK.K016.04.2016.09.26.day1	Decomposition Soil	UTK.K016.04	1084	1211.407855	202.5738646	0
soil.hip.UTK.K016.04.2016.09.27.day2	Decomposition Soil	UTK.K016.04	1076	1174.815107	231.1666122	21.3
soil.hip.UTK.K016.04.2016.09.28.day3	Decomposition Soil	UTK.K016.04	1025	1139.768532	215.2131875	41.7
soil.hip.UTK.K016.04.2016.09.29.day4	Decomposition Soil	UTK.K016.04	449	1107.642504	-328.6607853	60.4
soil.hip.UTK.K016.04.2016.10.01.day6	Decomposition Soil	UTK.K016.04	751	1052.323891	28.65782857	92.6
soil.hip.UTK.K016.04.2016.10.02.day7	Decomposition Soil	UTK.K016.04	367	1019.854269	-322.8725503	111.5
soil.hip.UTK.K016.04.2016.10.03.day8	Decomposition Soil	UTK.K016.04	546	986.8692575	-110.8875383	130.7
soil.hip.UTK.K016.04.2016.10.04.day9	Decomposition Soil	UTK.K016.04	200	949.761119	-419.7793998	152.3
soil.hip.UTK.K016.04.2016.10.05.day10	Decomposition Soil	UTK.K016.04	462	912.9965744	-121.0148552	173.7
soil.hip.UTK.K016.04.2016.10.06.day11	Decomposition Soil	UTK.K016.04	290	877.9499992	-257.96828	194.1
soil.hip.UTK.K016.04.2016.10.07.day12	Decomposition Soil	UTK.K016.04	749	842.903424	236.0782952	214.5
soil.hip.UTK.K016.04.2016.10.08.day13	Decomposition Soil	UTK.K016.04	181	805.6234886	-294.6417694	236.2
soil.hip.UTK.K016.04.2016.10.09.day14	Decomposition Soil	UTK.K016.04	125	776.5898061	-321.6080869	253.1
soil.hip.UTK.K016.04.2016.10.10.day15	Decomposition Soil	UTK.K016.04	279	748.0715145	-139.0897953	269.7
soil.hip.UTK.K016.04.2016.10.11.day16	Decomposition Soil	UTK.K016.04	206	719.8968168	-183.9150976	286.1
soil.hip.UTK.K016.04.2016.10.12.day17	Decomposition Soil	UTK.K016.04	136	691.2067283	-225.2250091	302.8
soil.hip.UTK.K016.04.2016.10.13.day18	Decomposition Soil	UTK.K016.04	102	661.4858581	-229.5041389	320.1
soil.hip.UTK.K016.04.2016.10.14.day19	Decomposition Soil	UTK.K016.04	299	626.9546737	2.02704551	340.2
soil.hip.UTK.K016.04.2016.10.15.day20	Decomposition Soil	UTK.K016.04	326	590.7055199	65.2761993	361.3
soil.hip.UTK.K016.04.2016.10.16.day21	Decomposition Soil	UTK.K016.04	153	553.4255845	-70.44386529	383
soil.hip.UTK.K016.05.2016.09.26.day1	Decomposition Soil	UTK.K016.05	1122	1211.407855	134.4011472	0
soil.hip.UTK.K016.05.2016.09.27.day2	Decomposition Soil	UTK.K016.05	1126	1174.815107	174.9938948	21.3
soil.hip.UTK.K016.05.2016.09.28.day3	Decomposition Soil	UTK.K016.05	1193	1139.768532	277.04047	41.7
soil.hip.UTK.K016.05.2016.09.29.day4	Decomposition Soil	UTK.K016.05	1047	1107.642504	163.1664973	60.4
soil.hip.UTK.K016.05.2016.09.30.day5	Decomposition Soil	UTK.K016.05	1149	1080.498588	292.3104134	76.2
soil.hip.UTK.K016.05.2016.10.01.day6	Decomposition Soil	UTK.K016.05	475	1052.323891	-353.5148888	92.6
soil.hip.UTK.K016.05.2016.10.02.day7	Decomposition Soil	UTK.K016.05	641	1019.854269	-155.0452677	111.5
soil.hip.UTK.K016.05.2016.10.03.day8	Decomposition Soil	UTK.K016.05	83	986.8692575	-680.0602557	130.7
soil.hip.UTK.K016.05.2016.10.04.day9	Decomposition Soil	UTK.K016.05	297	949.761119	-428.9521172	152.3
soil.hip.UTK.K016.05.2016.10.05.day10	Decomposition Soil	UTK.K016.05	285	912.9965744	-404.1875726	173.7
