community	medium	size	mip	mro	stage	Facility
Loop12	complete	20	30	0.58254217	early	FIRS
Loop13	complete	20	28	0.636374015	early	FIRS
Loop14	complete	20	29	0.629072682	early	FIRS
Loop15	complete	20	30	0.648429806	early	FIRS
Loop16	complete	20	25	0.626038781	early	FIRS
Loop17	complete	20	28	0.638726446	early	FIRS
Loop18	complete	20	30	0.65494694	early	FIRS
Loop19	complete	20	28	n/a	early	FIRS
Loop2	complete	20	28	0.63688455	early	FIRS
Loop20	complete	20	28	0.637426901	early	FIRS
Loop21	complete	20	29	0.670877193	early	FIRS
Loop22	complete	20	27	0.67684424	early	FIRS
Loop23	complete	20	31	0.626682987	early	FIRS
Loop24	complete	20	29	0.672560849	early	FIRS
Loop25	complete	20	28	0.656972328	early	FIRS
Loop26	complete	20	29	0.648475853	early	FIRS
Loop27	complete	20	28	0.669265757	early	FIRS
Loop28	complete	20	30	0.62289745	early	FIRS
Loop29	complete	20	28	0.654213823	early	FIRS
Loop3	complete	20	30	0.643225084	early	FIRS
Loop30	complete	20	26	0.647651387	early	FIRS
Loop31	complete	20	29	0.64762516	early	FIRS
Loop32	complete	20	28	0.642809954	early	FIRS
Loop33	complete	20	27	0.643570953	early	FIRS
Loop34	complete	20	29	0.626475279	early	FIRS
Loop35	complete	20	26	0.638868046	early	FIRS
Loop36	complete	20	30	0.667018247	early	FIRS
Loop37	complete	20	28	0.642987838	early	FIRS
Loop38	complete	20	26	0.633939108	early	FIRS
Loop39	complete	20	31	0.666734404	early	FIRS
Loop4	complete	20	27	0.633823364	early	FIRS
Loop40	complete	20	29	0.664	early	FIRS
Loop41	complete	20	32	0.641751437	early	FIRS
Loop42	complete	20	27	0.654711375	early	FIRS
Loop43	complete	20	29	0.642279974	early	FIRS
Loop44	complete	20	29	0.624029336	early	FIRS
Loop45	complete	20	31	0.643724696	early	FIRS
Loop46	complete	20	30	0.655453066	early	FIRS
Loop47	complete	20	30	0.623569794	early	FIRS
Loop48	complete	20	28	0.661881978	early	FIRS
Loop49	complete	20	29	0.648448043	early	FIRS
Loop5	complete	20	29	0.664486868	early	FIRS
Loop50	complete	20	26	0.631799163	early	FIRS
Loop51	complete	20	29	0.626003568	early	FIRS
Loop52	complete	20	28	0.649482312	early	FIRS
Loop53	complete	20	29	0.640742481	early	FIRS
Loop54	complete	20	26	0.65041331	early	FIRS
Loop55	complete	20	28	0.670638861	early	FIRS
Loop56	complete	20	30	0.652884717	early	FIRS
Loop57	complete	20	28	0.642197599	early	FIRS
Loop58	complete	20	29	0.66384778	early	FIRS
Loop59	complete	20	30	0.631142171	early	FIRS
Loop6	complete	20	29	0.657034744	early	FIRS
Loop60	complete	20	28	0.6613051	early	FIRS
Loop61	complete	20	29	0.638032714	early	FIRS
Loop62	complete	20	28	0.647207538	early	FIRS
Loop63	complete	20	27	0.660059239	early	FIRS
Loop64	complete	20	30	0.636516665	early	FIRS
Loop65	complete	20	28	0.651358418	early	FIRS
Loop66	complete	20	29	0.676358234	early	FIRS
Loop67	complete	20	25	0.658552632	early	FIRS
Loop68	complete	20	29	0.664819945	early	FIRS
Loop69	complete	20	29	0.647554437	early	FIRS
Loop7	complete	20	29	0.645628014	early	FIRS
Loop70	complete	20	28	0.650020721	early	FIRS
Loop71	complete	20	29	0.653235961	early	FIRS
Loop72	complete	20	30	0.683118585	early	FIRS
Loop73	complete	20	28	0.640920483	early	FIRS
Loop74	complete	20	33	0.639799064	early	FIRS
Loop75	complete	20	29	0.657300335	early	FIRS
Loop76	complete	20	26	0.655969191	early	FIRS
Loop77	complete	20	26	0.642928675	early	FIRS
Loop78	complete	20	30	0.633590345	early	FIRS
Loop79	complete	20	28	0.659029038	early	FIRS
Loop8	complete	20	28	0.624075913	early	FIRS
Loop80	complete	20	26	0.654320988	early	FIRS
Loop81	complete	20	26	0.635857938	early	FIRS
Loop82	complete	20	30	0.643621766	early	FIRS
Loop83	complete	20	28	0.666431179	early	FIRS
Loop84	complete	20	27	0.638524145	early	FIRS
Loop85	complete	20	29	0.628176044	early	FIRS
Loop86	complete	20	27	0.637107921	early	FIRS
Loop87	complete	20	28	0.620430914	early	FIRS
Loop88	complete	20	28	0.638292771	early	FIRS
Loop89	complete	20	30	0.627680312	early	FIRS
Loop9	complete	20	28	0.6325209	early	FIRS
Loop90	complete	20	29	0.644228597	early	FIRS
Loop91	complete	20	26	0.624561404	early	FIRS
Loop92	complete	20	28	0.616772701	early	FIRS
Loop93	complete	20	25	0.638640627	early	FIRS
Loop94	complete	20	32	0.65915308	early	FIRS
Loop95	complete	20	32	0.632034632	early	FIRS
Loop96	complete	20	22	0.656195053	early	FIRS
Loop97	complete	20	29	0.640474426	early	FIRS
Loop98	complete	20	26	0.645922499	early	FIRS
Loop99	complete	20	33	0.660575049	early	FIRS
Loop1	complete	20	34	0.663921254	active	STAFS
Loop10	complete	20	28	0.649735221	active	STAFS
Loop100	complete	20	30	0.630429786	active	STAFS
Loop11	complete	20	30	0.627305443	active	STAFS
Loop12	complete	20	33	0.641751437	active	STAFS
Loop13	complete	20	27	0.663652998	active	STAFS
Loop14	complete	20	29	0.670405522	active	STAFS
Loop15	complete	20	31	0.628033241	active	STAFS
Loop16	complete	20	29	0.623120301	active	STAFS
Loop17	complete	20	29	0.637333653	active	STAFS
Loop18	complete	20	28	0.646520963	active	STAFS
Loop19	complete	20	32	0.642684693	active	STAFS
Loop2	complete	20	31	0.635248251	active	STAFS
Loop20	complete	20	26	0.654783251	active	STAFS
Loop21	complete	20	29	0.658479532	active	STAFS
Loop22	complete	20	29	0.641794359	active	STAFS
Loop23	complete	20	28	0.662660588	active	STAFS
Loop24	complete	20	30	0.64289012	active	STAFS
Loop25	complete	20	29	0.641231901	active	STAFS
Loop26	complete	20	31	0.64606678	active	STAFS
Loop27	complete	20	29	0.644078947	active	STAFS
Loop28	complete	20	28	0.648448043	active	STAFS
Loop29	complete	20	31	0.609986505	active	STAFS
Loop3	complete	20	31	0.636550308	active	STAFS
Loop30	complete	20	30	0.639711862	active	STAFS
Loop31	complete	20	31	0.664351601	active	STAFS
Loop32	complete	20	31	0.638943037	active	STAFS
Loop33	complete	20	26	0.649983167	active	STAFS
Loop34	complete	20	31	0.611658178	active	STAFS
Loop35	complete	20	25	0.656869446	active	STAFS
Loop36	complete	20	28	0.646222411	active	STAFS
Loop37	complete	20	28	0.64206066	active	STAFS
Loop38	complete	20	28	0.646192488	active	STAFS
Loop39	complete	20	28	0.660818713	active	STAFS
Loop4	complete	20	28	0.666893039	active	STAFS
Loop40	complete	20	27	0.619036954	active	STAFS
Loop41	complete	20	30	0.608927382	active	STAFS
Loop42	complete	20	31	0.633355541	active	STAFS
Loop43	complete	20	30	0.63251048	active	STAFS
Loop44	complete	20	25	0.649314753	active	STAFS
Loop45	complete	20	28	0.634959991	active	STAFS
Loop46	complete	20	29	0.661811762	active	STAFS
Loop47	complete	20	28	0.625919638	active	STAFS
Loop48	complete	20	30	0.667838699	active	STAFS
Loop49	complete	20	29	0.658450349	active	STAFS
Loop5	complete	20	28	0.636569873	active	STAFS
Loop50	complete	20	29	0.643793027	active	STAFS
Loop51	complete	20	29	0.614933771	active	STAFS
Loop52	complete	20	29	0.645894737	active	STAFS
Loop53	complete	20	27	0.648320147	active	STAFS
Loop54	complete	20	29	0.645380117	active	STAFS
Loop55	complete	20	27	0.663437735	active	STAFS
Loop56	complete	20	26	0.64495614	active	STAFS
Loop57	complete	20	29	0.670452064	active	STAFS
Loop58	complete	20	29	0.675381264	active	STAFS
Loop59	complete	20	28	0.648325359	active	STAFS
Loop6	complete	20	31	0.641848524	active	STAFS
Loop60	complete	20	30	0.638199272	active	STAFS
Loop61	complete	20	31	0.645498043	active	STAFS
Loop62	complete	20	25	0.639484979	active	STAFS
Loop63	complete	20	25	0.64120801	active	STAFS
Loop64	complete	20	29	0.653318078	active	STAFS
Loop65	complete	20	26	0.654893813	active	STAFS
Loop66	complete	20	27	0.650154799	active	STAFS
Loop67	complete	20	28	0.648429806	active	STAFS
Loop68	complete	20	27	0.656133234	active	STAFS
Loop69	complete	20	33	0.638610697	active	STAFS
Loop7	complete	20	26	0.644574399	active	STAFS
Loop70	complete	20	31	0.635680109	active	STAFS
Loop71	complete	20	29	0.633842671	active	STAFS
Loop72	complete	20	30	0.638143242	active	STAFS
Loop73	complete	20	30	0.63202879	active	STAFS
Loop74	complete	20	31	0.652804852	active	STAFS
Loop75	complete	20	32	0.655444279	active	STAFS
Loop76	complete	20	32	0.637663523	active	STAFS
Loop77	complete	20	24	0.642491759	active	STAFS
Loop78	complete	20	29	0.626983259	active	STAFS
Loop79	complete	20	31	0.636831163	active	STAFS
Loop8	complete	20	30	0.628642422	active	STAFS
Loop80	complete	20	27	0.654038113	active	STAFS
Loop81	complete	20	31	0.633603239	active	STAFS
Loop82	complete	20	26	0.661198451	active	STAFS
Loop83	complete	20	29	0.630684993	active	STAFS
Loop84	complete	20	32	0.655971871	active	STAFS
Loop85	complete	20	30	0.634789588	active	STAFS
Loop86	complete	20	28	0.640567711	active	STAFS
Loop87	complete	20	29	0.668303619	active	STAFS
Loop88	complete	20	30	0.643299899	active	STAFS
Loop89	complete	20	30	0.651444229	active	STAFS
Loop9	complete	20	31	0.641825803	active	STAFS
Loop90	complete	20	30	0.647849131	active	STAFS
Loop91	complete	20	33	0.663314337	active	STAFS
Loop92	complete	20	28	0.633809099	active	STAFS
Loop93	complete	20	28	0.641350211	active	STAFS
Loop94	complete	20	29	0.652248029	active	STAFS
Loop95	complete	20	29	0.646044286	active	STAFS
Loop96	complete	20	29	0.651757853	active	STAFS
Loop97	complete	20	27	0.618071728	active	STAFS
Loop98	complete	20	27	0.642719109	active	STAFS
Loop99	complete	20	28	0.655045256	active	STAFS
Loop1	complete	20	32	0.631155353	advanced	STAFS
Loop10	complete	20	29	0.665554977	advanced	STAFS
Loop100	complete	20	29	0.637581734	advanced	STAFS
Loop11	complete	20	29	0.647190009	advanced	STAFS
Loop12	complete	20	30	0.661251895	advanced	STAFS
Loop13	complete	20	27	0.648261278	advanced	STAFS
Loop14	complete	20	29	0.650402477	advanced	STAFS
Loop15	complete	20	27	0.634721131	advanced	STAFS
Loop16	complete	20	29	0.620087336	advanced	STAFS
Loop17	complete	20	32	0.655933953	advanced	STAFS
