SampleID	season	sample_site	add_0c	facility	decomp_stage	sample_type
soil.ctrl.UTK.K016.08.2017.Jan.19.day13	winter	not_applicable	133.9	UTK	active	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.20.day14	winter	not_applicable	148.3	UTK	active	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.21.day15	winter	not_applicable	161	UTK	active	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.22.day16	winter	not_applicable	174.6	UTK	active	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.23.day17	winter	not_applicable	186.2	UTK	active	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.24.day18	winter	not_applicable	194.1	UTK	active	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.25.day19	winter	not_applicable	202.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.26.day20	winter	not_applicable	212.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.08.2017.Jan.27.day21	winter	not_applicable	215.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.06.day1	winter	not_applicable	0	UTK	early	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.08.day2	winter	not_applicable	0	UTK	early	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.09.day3	winter	not_applicable	0	UTK	early	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.10.day4	winter	not_applicable	3.9	UTK	early	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.11.day5	winter	not_applicable	15.8	UTK	early	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.12.day6	winter	not_applicable	32.8	UTK	early	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.13.day7	winter	not_applicable	49.3	UTK	early	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.14.day8	winter	not_applicable	64.5	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.15.day9	winter	not_applicable	80.4	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.16.day10	winter	not_applicable	94.1	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.17.day11	winter	not_applicable	109.7	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.18.day12	winter	not_applicable	124.1	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.19.day13	winter	not_applicable	133.9	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.20.day14	winter	not_applicable	148.3	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.21.day15	winter	not_applicable	161	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.22.day16	winter	not_applicable	174.6	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.23.day17	winter	not_applicable	186.2	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.24.day18	winter	not_applicable	194.1	UTK	active	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.25.day19	winter	not_applicable	202.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.26.day20	winter	not_applicable	212.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.09.2017.Jan.27.day21	winter	not_applicable	215.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.05.25.day1	summer	not_applicable	0	UTK	early	soil_control
